DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
30.18:49:34,0,0.0,1.0069,0.0,33038,14241,9777,4464,1.4166,0.0,32797,32785,34.625,93.833,82.68,42572,39710,26376,531,0,0,20056,0.0
30.18:49:44,10,0.0,1.0069,0.0,32981,14262,9792,4470,1.4166,0.0,32783,32774,34.625,93.833,82.68,42571,39710,26344,538,0,0,20056,0.0
30.18:49:54,20,0.0,1.0056,0.0,33137,14243,9777,4466,1.4166,0.0,32765,32778,34.656,93.832,82.68,42555,39710,26369,555,0,0,20056,0.0
30.18:50:04,30,0.0,1.0069,0.0,32883,14235,9747,4488,1.4166,0.0,32813,32748,34.625,93.832,82.68,42567,39709,26402,547,0,0,20056,0.0
30.18:50:14,40,0.0,1.0069,0.0,33229,14242,9760,4482,1.4166,0.0,32841,32760,34.625,93.834,82.68,42574,39709,26460,543,0,0,20056,0.0
30.18:50:24,50,0.0,1.0069,0.0,33107,14254,9777,4477,1.418,0.0,32832,32745,34.625,93.833,82.681,42568,39701,26472,569,0,0,20056,0.0
30.18:50:34,60,0.0,1.0083,0.0,30402,14266,9784,4482,1.4166,0.0,32837,32766,34.625,93.833,82.68,42569,39708,26458,542,0,0,20056,0.0
30.18:50:44,70,0.0,1.0076,0.0,30373,14256,9780,4476,1.4166,0.0,32809,32758,34.625,93.832,82.681,42566,39700,26391,566,0,0,20056,0.0
30.18:50:54,80,0.0,1.0076,0.0,30215,14268,9773,4495,1.4166,0.0,32807,32738,34.625,93.833,82.681,42574,39699,26357,542,0,0,20056,0.0
30.18:51:04,90,0.0,1.0076,0.0,33105,14236,9761,4475,1.4166,0.0,32809,32768,34.625,93.833,82.681,42577,39699,26391,535,0,0,20056,0.0
