DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
28.16:49:18,0,0.0,1.3563,0.0,33291,14969,8446,6523,1.4097,0.0,33105,29696,34.094,91.399,81.856,40982,40543,21811,621,0,0,19706,0.0
28.16:49:29,10,0.0,1.3549,0.0,33059,14995,8450,6545,1.4084,0.0,33077,29712,34.125,91.4,81.856,40991,40543,21830,605,0,0,19706,0.0
28.16:49:39,20,0.0,1.3563,0.0,33227,14950,8444,6506,1.4097,0.0,33046,29694,34.094,91.399,81.856,40919,40551,21680,633,0,0,19706,0.0
28.16:49:49,30,0.0,1.3549,0.0,33174,14954,8413,6541,1.4097,0.0,33061,29706,34.125,91.399,81.856,40979,40552,21657,613,0,0,19706,0.0
28.16:49:59,40,0.0,1.3576,0.0,33230,14947,8416,6531,1.4097,0.0,33001,29698,34.125,91.398,81.856,40954,40552,21661,639,0,0,19706,0.0
28.16:50:09,50,0.0,1.3556,0.0,33325,14938,8409,6529,1.4097,0.0,33035,29708,34.125,91.4,81.857,40922,40536,21724,616,0,0,19706,0.0
28.16:50:19,60,0.0,1.3556,0.0,33273,14968,8457,6511,1.4097,0.0,33062,29694,34.125,91.4,81.856,40952,40544,21656,636,0,0,19706,0.0
28.16:50:29,70,0.0,1.3556,0.0,34979,14980,8413,6567,1.4084,0.0,33058,29702,34.125,91.4,81.857,40938,40535,21698,621,0,0,19706,0.0
28.16:50:39,80,0.0,1.3542,0.0,33177,14964,8421,6543,1.4097,0.0,33016,29704,34.125,91.4,81.856,40910,40543,21592,596,0,0,19706,0.0
28.16:50:49,90,0.0,1.3535,0.0,33184,14937,8414,6523,1.4097,0.0,33052,29697,34.125,91.4,81.856,40942,40543,21693,617,0,0,19706,0.0
28.16:50:59,100,0.0,1.3563,0.0,33320,14973,8436,6537,1.4097,0.0,33062,29687,34.125,91.4,81.857,40910,40534,21704,628,0,0,19706,0.0
28.16:51:09,110,0.0,1.3542,0.0,33376,14963,8428,6535,1.4097,0.0,33071,29667,34.125,91.4,81.857,40935,40534,21754,641,0,0,19706,0.0
28.16:51:19,120,0.0,1.3569,0.0,33173,14986,8448,6538,1.4097,0.0,33073,29709,34.125,91.399,81.856,40969,40542,21641,629,0,0,19706,0.0
28.16:51:29,130,0.0,1.3556,0.0,33280,14957,8430,6527,1.4097,0.0,33046,29684,34.125,91.399,81.857,40933,40534,21683,612,0,0,19706,0.0
28.16:51:39,140,0.0,1.3556,0.0,33352,14919,8377,6542,1.4084,0.0,33021,29678,34.125,91.4,81.856,40904,40541,21713,640,0,0,19706,0.0
28.16:51:49,150,0.0,1.3569,0.0,33347,14976,8425,6551,1.4097,0.0,33044,29701,34.125,91.399,81.857,40904,40533,21644,630,0,0,19706,0.0
28.16:51:59,160,0.0,1.3569,0.0,33212,14942,8420,6522,1.4084,0.0,33062,29713,34.125,91.399,81.856,40933,40541,21710,628,0,0,19706,0.0
28.16:52:09,170,0.0,1.3549,0.0,33194,14966,8433,6533,1.4097,0.0,33050,29718,34.094,91.399,81.857,40991,40533,21739,621,0,0,19706,0.0
28.16:52:19,180,0.0,1.3528,0.0,33238,14966,8459,6507,1.4097,0.0,33065,29724,34.125,91.399,81.857,40921,40525,21681,610,0,0,19706,0.0
28.16:52:29,190,0.0,1.3549,0.0,29022,14959,8412,6547,1.4097,0.0,33034,29709,34.125,91.4,81.856,40924,40541,21671,609,0,0,19706,0.0
28.16:52:39,200,0.0,1.3569,0.0,32940,15008,8454,6554,1.4097,0.0,33075,29719,34.125,91.398,81.856,40993,40541,21658,603,0,0,19706,0.0
