DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
06.19:49:15,0,0.0,0.4847,0.0,32922,13437,11357,2080,1.3385,0.0,34338,31730,34.219,85.475,83.161,37819,41577,30667,537,0,0,18584,0.0
06.19:49:25,10,0.0,0.4854,0.0,33148,13431,11359,2072,1.3385,0.0,34314,31722,34.219,85.476,83.162,37812,41561,30584,556,0,0,18584,0.0
06.19:49:35,20,0.0,0.4854,0.0,32932,13432,11355,2077,1.3385,0.0,34296,31708,34.219,85.475,83.162,37813,41561,30573,546,0,0,18584,0.0
06.19:49:45,30,0.0,0.4854,0.0,32957,13430,11360,2070,1.3385,0.0,34298,31659,34.219,85.476,83.161,37813,41576,30571,545,0,0,18584,0.0
06.19:49:55,40,0.0,0.4847,0.0,32966,13423,11353,2070,1.3385,0.0,34321,31724,34.219,85.475,83.162,37813,41560,30614,546,0,0,18584,0.0
06.19:50:05,50,0.0,0.4847,0.0,33040,13429,11358,2071,1.3385,0.0,34325,31712,34.219,85.477,83.161,37813,41568,30648,535,0,0,18584,0.0
06.19:50:15,60,0.0,0.4854,0.0,32885,13430,11358,2072,1.3385,0.0,34270,31727,34.219,85.476,83.161,37808,41568,30544,525,0,0,18584,0.0
06.19:50:25,70,0.0,0.4847,0.0,32879,13440,11361,2079,1.3385,0.0,34320,31724,34.219,85.476,83.161,37812,41576,30622,551,0,0,18584,0.0
06.19:50:35,80,0.0,0.4854,0.0,32889,13421,11357,2064,1.3385,0.0,34285,31667,34.219,85.476,83.161,37814,41568,30592,543,0,0,18584,0.0
06.19:50:45,90,0.0,0.4854,0.0,32869,13411,11363,2048,1.3385,0.0,34291,31691,34.219,85.476,83.162,37815,41561,30584,509,0,0,18584,0.0
06.19:50:55,100,0.0,0.4847,0.0,33019,13423,11344,2079,1.3385,0.0,34323,31725,34.219,85.475,83.161,37818,41569,30632,552,0,0,18584,0.0
06.19:51:05,110,0.0,0.4854,0.0,32781,13422,11343,2079,1.3385,0.0,34328,31735,34.188,85.476,83.161,37822,41577,30616,542,0,0,18584,0.0
06.19:51:15,120,0.0,0.4854,0.0,32877,13440,11349,2091,1.3385,0.0,34321,31738,34.188,85.475,83.161,37819,41570,30566,535,0,0,18584,0.0
06.19:51:25,130,0.0,0.4854,0.0,32918,13432,11350,2082,1.3385,0.0,34310,31730,34.188,85.477,83.161,37821,41571,30568,545,0,0,18584,0.0
