DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
06.19:49:15,0,0.0,0.6727,0.0,32046,13264,11538,1726,1.3042,0.0,35135,32657,34.344,93.761,80.08,40667,37368,24398,539,0,0,20390,0.0
06.19:49:25,10,0.0,0.6727,0.0,32890,13272,11545,1727,1.3029,0.0,35156,32621,34.344,93.761,80.08,40657,37383,24450,524,0,0,20390,0.0
06.19:49:35,20,0.0,0.6733,0.0,32828,13293,11556,1737,1.3042,0.0,35092,32655,34.344,93.762,80.08,40658,37375,24355,551,0,0,20390,0.0
06.19:49:45,30,0.0,0.6727,0.0,32900,13280,11557,1723,1.3042,0.0,35099,32662,34.344,93.761,80.08,40658,37375,24277,547,0,0,20390,0.0
06.19:49:55,40,0.0,0.6733,0.0,32809,13290,11568,1722,1.3042,0.0,35239,32596,34.344,93.762,80.08,40659,37375,24448,536,0,0,20390,0.0
06.19:50:05,50,0.0,0.6727,0.0,32898,13287,11553,1734,1.3042,0.0,35238,32649,34.313,93.762,80.08,40654,37375,24424,524,0,0,20390,0.0
06.19:50:15,60,0.0,0.6727,0.0,31571,13295,11574,1721,1.3042,0.0,35260,32664,34.313,93.763,80.08,40659,37367,24442,534,0,0,20390,0.0
06.19:50:25,70,0.0,0.6727,0.0,32129,13290,11576,1714,1.3042,0.0,35254,32700,34.313,93.762,80.08,40657,37375,24387,552,0,0,20390,0.0
06.19:50:35,80,0.0,0.6727,0.0,32846,13294,11563,1731,1.3042,0.0,35265,32629,34.313,93.761,80.08,40659,37368,24416,532,0,0,20390,0.0
06.19:50:45,90,0.0,0.6727,0.0,32828,13271,11577,1694,1.3042,0.0,35226,32669,34.313,93.761,80.08,40659,37375,24311,539,0,0,20390,0.0
06.19:50:55,100,0.0,0.6727,0.0,32846,13261,11554,1707,1.3042,0.0,35204,32663,34.313,93.762,80.08,40662,37376,24389,527,0,0,20390,0.0
06.19:51:05,110,0.0,0.6727,0.0,32808,13276,11567,1709,1.3042,0.0,35237,32615,34.313,93.762,80.08,40659,37376,24355,541,0,0,20390,0.0
06.19:51:15,120,0.0,0.6733,0.0,32894,13287,11532,1755,1.3029,0.0,35207,32621,34.313,93.761,80.08,40658,37384,24393,550,0,0,20390,0.0
06.19:51:25,130,0.0,0.6727,0.0,32867,13299,11556,1743,1.3042,0.0,35236,32651,34.281,93.76,80.08,40664,37370,24403,552,0,0,20390,0.0
06.19:51:35,140,0.0,0.6727,0.0,32859,13319,11587,1732,1.3042,0.0,35211,32602,34.281,93.762,80.08,40666,37386,24357,540,0,0,20390,0.0
06.19:51:45,150,0.0,0.6727,0.0,32867,13281,11557,1724,1.3042,0.0,35281,32640,34.281,93.761,80.08,40670,37387,24441,521,0,0,20390,0.0
06.19:51:55,160,0.0,0.6733,0.0,32866,13294,11557,1737,1.3042,0.0,35296,32672,34.281,93.761,80.08,40672,37389,24440,552,0,0,20390,0.0
06.19:52:05,170,0.0,0.6733,0.0,32819,13287,11562,1725,1.3042,0.0,35169,32652,34.281,93.761,80.08,40682,37383,24294,533,0,0,20390,0.0
06.19:52:15,180,0.0,0.6733,0.0,32831,13280,11548,1732,1.3042,0.0,35205,32582,34.25,93.762,80.079,40680,37400,24395,544,0,0,20390,0.0
06.19:52:25,190,0.0,0.672,0.0,32864,13307,11573,1734,1.3042,0.0,35208,32667,34.25,93.761,80.08,40677,37386,24447,537,0,0,20390,0.0
06.19:52:35,200,0.0,0.6727,0.0,32860,13293,11579,1714,1.3042,0.0,35205,32631,34.25,93.762,80.08,40678,37396,24374,523,0,0,20390,0.0
06.19:52:45,210,0.0,0.6727,0.0,32859,13295,11555,1740,1.3042,0.0,35212,32655,34.25,93.761,80.08,40680,37390,24384,550,0,0,20390,0.0
06.19:52:55,220,0.0,0.6727,0.0,32827,13271,11560,1711,1.3042,0.0,35099,32632,34.25,93.762,80.079,40688,37408,24324,543,0,0,20390,0.0
06.19:53:05,230,0.0,0.6733,0.0,32910,13275,11545,1730,1.3042,0.0,35133,32630,34.25,93.761,80.08,40687,37394,24372,569,0,0,20390,0.0
06.19:53:15,240,0.0,0.6727,0.0,32795,13281,11577,1704,1.3029,0.0,35152,32673,34.219,93.76,80.079,40688,37411,24384,536,0,0,20390,0.0
06.19:53:25,250,0.0,0.6727,0.0,32821,13274,11550,1724,1.3042,0.0,35165,32672,34.25,93.76,80.08,40690,37397,24419,535,0,0,20390,0.0
06.19:53:35,260,0.0,0.6727,0.0,32877,13268,11558,1710,1.3042,0.0,35112,32638,34.219,93.761,80.079,40697,37415,24332,551,0,0,20390,0.0
