DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
30.18:49:36,0,0.0,1.3241,0.0,28067,15195,8061,7134,1.3741,0.0,32820,31570,34.875,93.596,84.2,43239,42624,20839,627,0,0,19599,0.0
30.18:49:46,10,0.0,1.3234,0.0,28679,15208,8078,7130,1.3755,0.0,32877,31570,34.844,93.595,84.2,43240,42615,20807,607,0,0,19599,0.0
30.18:49:56,20,0.0,1.3248,0.0,33290,15158,8045,7113,1.3755,0.0,32788,31557,34.875,93.595,84.2,43250,42623,20817,610,0,0,19599,0.0
30.18:50:06,30,0.0,1.3248,0.0,33345,15205,8061,7144,1.3755,0.0,32813,31554,34.875,93.595,84.2,43244,42607,20851,622,0,0,19599,0.0
30.18:50:16,40,0.0,1.3255,0.0,35137,15085,8045,7040,1.3755,0.0,32814,31569,34.875,93.597,84.2,43243,42615,20842,610,0,0,19599,0.0
30.18:50:26,50,0.0,1.3241,0.0,33471,15246,8083,7163,1.3741,0.0,32924,31528,34.875,93.595,84.2,43238,42614,20890,638,0,0,19599,0.0
30.18:50:36,60,0.0,1.3234,0.0,33486,15236,8074,7162,1.3755,0.0,32876,31518,34.875,93.595,84.2,43247,42613,20759,601,0,0,19599,0.0
30.18:50:46,70,0.0,1.3241,0.0,33385,15190,8044,7146,1.3755,0.0,32812,31526,34.875,93.594,84.2,43276,42605,20823,609,0,0,19599,0.0
30.18:50:56,80,0.0,1.3248,0.0,33355,15215,8047,7168,1.3755,0.0,32795,31537,34.844,93.596,84.2,43239,42613,20818,600,0,0,19599,0.0
30.18:51:06,90,0.0,1.3228,0.0,33343,15214,8071,7143,1.3755,0.0,32842,31577,34.844,93.595,84.2,43238,42605,20919,578,0,0,19599,0.0
30.18:51:16,100,0.0,1.3248,0.0,33429,15208,8068,7140,1.3755,0.0,32829,31550,34.844,93.595,84.2,43268,42613,20780,613,0,0,19599,0.0
30.18:51:26,110,0.0,1.3234,0.0,33476,15222,8111,7111,1.3755,0.0,32914,31562,34.844,93.594,84.2,43242,42621,20861,613,0,0,19599,0.0
30.18:51:36,120,0.0,1.3241,0.0,33251,15238,8091,7147,1.3755,0.0,32942,31562,34.813,93.595,84.2,43237,42614,20844,615,0,0,19599,0.0
30.18:51:46,130,0.0,1.3248,0.0,33299,15197,8065,7132,1.3755,0.0,32819,31548,34.813,93.594,84.2,43289,42622,20732,612,0,0,19599,0.0
30.18:51:56,140,0.0,1.3255,0.0,33352,15222,8073,7149,1.3755,0.0,32833,31568,34.813,93.594,84.2,43230,42624,20848,585,0,0,19599,0.0
30.18:52:06,150,0.0,1.3262,0.0,33280,15191,8059,7132,1.3755,0.0,32820,31577,34.813,93.594,84.2,43258,42625,20834,606,0,0,19599,0.0
30.18:52:16,160,0.0,1.3234,0.0,33816,15223,8084,7139,1.3741,0.0,32823,31573,34.813,93.595,84.2,43256,42626,20761,595,0,0,19599,0.0
30.18:52:26,170,0.0,1.3241,0.0,33246,15211,8059,7152,1.3755,0.0,32805,31566,34.813,93.594,84.2,43250,42627,20737,592,0,0,19599,0.0
30.18:52:36,180,0.0,1.3241,0.0,33522,15222,8081,7141,1.3755,0.0,32765,31566,34.781,93.595,84.2,43266,42628,20747,604,0,0,19599,0.0
30.18:52:46,190,0.0,1.3241,0.0,33375,15179,8056,7123,1.3741,0.0,32828,31556,34.813,93.594,84.2,43261,42622,20831,609,0,0,19599,0.0
30.18:52:56,200,0.0,1.3234,0.0,33398,15229,8063,7166,1.3755,0.0,32898,31552,34.813,93.595,84.2,43264,42639,20717,612,0,0,19599,0.0
30.18:53:06,210,0.0,1.3228,0.0,33101,15208,8089,7119,1.3755,0.0,32807,31583,34.781,93.594,84.2,43277,42632,20810,596,0,0,19599,0.0
30.18:53:16,220,0.0,1.3255,0.0,33038,15196,8077,7119,1.3755,0.0,32791,31579,34.781,93.594,84.2,43246,42633,20731,590,0,0,19599,0.0
30.18:53:26,230,0.0,1.3241,0.0,33352,15209,8081,7128,1.3755,0.0,32833,31578,34.813,93.594,84.2,43259,42634,20796,598,0,0,19599,0.0
30.18:53:36,240,0.0,1.3234,0.0,33397,15208,8097,7111,1.3755,0.0,32804,31575,34.781,93.595,84.2,43261,42627,20781,578,0,0,19599,0.0
30.18:53:46,250,0.0,1.3248,0.0,33258,15194,8090,7104,1.3755,0.0,32845,31564,34.813,93.594,84.2,43269,42636,20886,579,0,0,19599,0.0
30.18:53:56,260,0.0,1.3241,0.0,33330,15236,8082,7154,1.3755,0.0,32797,31588,34.813,93.594,84.2,43280,42636,20768,583,0,0,19599,0.0
30.18:54:06,270,0.0,1.3248,0.0,33244,15210,8075,7135,1.3755,0.0,32809,31572,34.813,93.594,84.2,43273,42637,20761,587,0,0,19599,0.0
30.18:54:16,280,0.0,1.3234,0.0,33082,15223,8076,7147,1.3741,0.0,32866,31557,34.813,93.595,84.2,43257,42638,20882,595,0,0,19599,0.0
30.18:54:26,290,0.0,1.3255,0.0,33372,15218,8082,7136,1.3755,0.0,32819,31569,34.781,93.593,84.2,43283,42639,20759,589,0,0,19599,0.0
30.18:54:36,300,0.0,1.3255,0.0,33287,15233,8084,7149,1.3741,0.0,32793,31553,34.813,93.595,84.2,43278,42639,20766,575,0,0,19599,0.0
30.18:54:46,310,0.0,1.3241,0.0,33285,15222,8087,7135,1.3741,0.0,32782,31574,34.813,93.594,84.2,43280,42640,20776,591,0,0,19599,0.0
30.18:54:56,320,0.0,1.3255,0.0,33253,15202,8046,7156,1.3755,0.0,32794,31592,34.813,93.595,84.2,43269,42640,20815,595,0,0,19599,0.0
