DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
15.19:40:25,0,0.0,0.8176,0.0,32871,13874,10515,3359,1.3248,0.0,34332,33160,35.063,87.127,83.247,37397,39592,29625,549,0,0,18595,0.0
15.19:40:35,10,0.0,0.8176,0.0,32961,13869,10524,3345,1.3248,0.0,34340,33195,35.063,87.128,83.247,37399,39592,29676,553,0,0,18595,0.0
15.19:40:45,20,0.0,0.8176,0.0,32997,13863,10522,3341,1.3248,0.0,34345,33199,35.063,87.127,83.247,37397,39592,29672,538,0,0,18595,0.0
15.19:40:55,30,0.0,0.8176,0.0,31047,13882,10533,3349,1.3248,0.0,34304,33180,35.063,87.127,83.247,37395,39591,29614,549,0,0,18595,0.0
15.19:41:05,40,0.0,0.8176,0.0,32966,13886,10532,3354,1.3262,0.0,34329,33169,35.063,87.127,83.247,37397,39591,29654,535,0,0,18595,0.0
15.19:41:15,50,0.0,0.8176,0.0,33067,13879,10536,3343,1.3262,0.0,34380,33150,35.063,87.127,83.247,37398,39591,29726,548,0,0,18595,0.0
15.19:41:25,60,0.0,0.8176,0.0,32966,13873,10531,3342,1.3248,0.0,34310,33200,35.063,87.127,83.247,37393,39591,29605,548,0,0,18595,0.0
15.19:41:35,70,0.0,0.8162,0.0,32930,13881,10518,3363,1.3248,0.0,34344,33143,35.063,87.127,83.247,37398,39590,29685,560,0,0,18595,0.0
15.19:41:45,80,0.0,0.8176,0.0,33007,13878,10533,3345,1.3248,0.0,34336,33177,35.031,87.127,83.247,37395,39582,29645,543,0,0,18595,0.0
15.19:41:55,90,0.0,0.8169,0.0,33079,13869,10536,3333,1.3262,0.0,34327,33151,35.031,87.128,83.247,37400,39582,29649,567,0,0,18595,0.0
15.19:42:05,100,0.0,0.8176,0.0,32894,13879,10533,3346,1.3248,0.0,34339,33138,35.031,87.127,83.247,37396,39590,29631,546,0,0,18595,0.0
15.19:42:15,110,0.0,0.8169,0.0,32926,13878,10540,3338,1.3248,0.0,34322,33174,35.031,87.127,83.247,37399,39590,29632,558,0,0,18595,0.0
15.19:42:25,120,0.0,0.8176,0.0,32961,13881,10512,3369,1.3262,0.0,34356,33161,35.0,87.128,83.247,37404,39590,29693,559,0,0,18595,0.0
15.19:42:35,130,0.0,0.8176,0.0,32991,13863,10516,3347,1.3248,0.0,34325,33152,35.031,87.127,83.247,37407,39598,29615,546,0,0,18595,0.0
15.19:42:45,140,0.0,0.8176,0.0,32979,13882,10534,3348,1.3248,0.0,34330,33173,35.0,87.127,83.247,37406,39598,29632,549,0,0,18595,0.0
15.19:42:55,150,0.0,0.8176,0.0,32906,13872,10511,3361,1.3262,0.0,34346,33217,35.0,87.127,83.247,37409,39599,29664,562,0,0,18595,0.0
15.19:43:05,160,0.0,0.8169,0.0,32990,13880,10523,3357,1.3248,0.0,34360,33184,35.0,87.127,83.247,37412,39600,29677,560,0,0,18595,0.0
15.19:43:15,170,0.0,0.8169,0.0,33020,13862,10517,3345,1.3248,0.0,34349,33162,35.0,87.127,83.247,37413,39602,29672,564,0,0,18595,0.0
15.19:43:25,180,0.0,0.8183,0.0,33009,13884,10529,3355,1.3248,0.0,34331,33158,35.0,87.127,83.247,37413,39603,29642,543,0,0,18595,0.0
15.19:43:35,190,0.0,0.8176,0.0,32850,13891,10530,3361,1.3248,0.0,34346,33158,34.969,87.127,83.247,37415,39604,29708,546,0,0,18595,0.0
15.19:43:45,200,0.0,0.8169,0.0,33059,13869,10513,3356,1.3262,0.0,34341,33179,35.0,87.127,83.247,37419,39606,29652,546,0,0,18595,0.0
15.19:43:55,210,0.0,0.8169,0.0,33044,13880,10518,3362,1.3248,0.0,34322,33138,34.969,87.127,83.247,37418,39607,29666,556,0,0,18595,0.0
15.19:44:05,220,0.0,0.8176,0.0,33009,13885,10536,3349,1.3248,0.0,34303,33145,34.969,87.127,83.247,37418,39609,29626,554,0,0,18595,0.0
15.19:44:15,230,0.0,0.8176,0.0,33008,13873,10551,3322,1.3262,0.0,34321,33154,34.969,87.127,83.247,37416,39610,29624,553,0,0,18595,0.0
15.19:44:25,240,0.0,0.8176,0.0,33012,13886,10531,3355,1.3248,0.0,34347,33150,34.969,87.127,83.247,37423,39611,29655,545,0,0,18595,0.0
15.19:44:35,250,0.0,0.8176,0.0,32972,13873,10529,3344,1.3248,0.0,34323,33148,35.0,87.127,83.247,37421,39612,29640,553,0,0,18595,0.0
15.19:44:46,260,0.0,0.8176,0.0,33008,13870,10520,3350,1.3262,0.0,34334,33162,34.969,87.128,83.247,37421,39613,29624,551,0,0,18595,0.0
15.19:44:56,270,0.0,0.8169,0.0,32893,13876,10531,3345,1.3262,0.0,34331,33151,34.969,87.127,83.247,37422,39606,29621,553,0,0,18595,0.0
15.19:45:06,280,0.0,0.8169,0.0,33012,13873,10520,3353,1.3248,0.0,34335,33156,34.969,87.127,83.247,37422,39607,29633,548,0,0,18595,0.0
15.19:45:16,290,0.0,0.8176,0.0,33006,13875,10534,3341,1.3248,0.0,34339,33172,34.969,87.126,83.247,37427,39616,29694,547,0,0,18595,0.0
15.19:45:26,300,0.0,0.8176,0.0,33006,13869,10521,3348,1.3248,0.0,34298,33159,34.969,87.127,83.247,37420,39617,29575,555,0,0,18595,0.0
15.19:45:36,310,0.0,0.8169,0.0,32954,13868,10524,3344,1.3248,0.0,34356,33135,34.969,87.127,83.247,37426,39618,29694,549,0,0,18595,0.0
15.19:45:46,320,0.0,0.8169,0.0,33017,13877,10518,3359,1.3248,0.0,34333,33149,34.969,87.126,83.247,37429,39618,29659,548,0,0,18595,0.0
15.19:45:56,330,0.0,0.8183,0.0,31043,13870,10537,3333,1.3248,0.0,34309,33149,34.969,87.127,83.247,37424,39619,29601,551,0,0,18595,0.0
15.19:46:06,340,0.0,0.8176,0.0,31123,13856,10513,3343,1.3248,0.0,34320,33169,34.969,87.127,83.247,37424,39620,29625,550,0,0,18595,0.0
15.19:46:16,350,0.0,0.8169,0.0,30993,13884,10523,3361,1.3248,0.0,34328,33145,34.938,87.126,83.247,37429,39613,29611,548,0,0,18595,0.0
15.19:46:26,360,0.0,0.8183,0.0,31033,13881,10542,3339,1.3248,0.0,34312,33157,34.969,87.126,83.247,37426,39621,29599,553,0,0,18595,0.0
15.19:46:36,370,0.0,0.8176,0.0,30503,13856,10518,3338,1.3248,0.0,34327,33131,34.938,87.128,83.247,37429,39622,29640,560,0,0,18595,0.0
15.19:46:46,380,0.0,0.8183,0.0,33041,13879,10537,3342,1.3248,0.0,34321,33160,34.938,87.127,83.247,37426,39622,29617,555,0,0,18595,0.0
15.19:46:56,390,0.0,0.8176,0.0,32964,13876,10535,3341,1.3248,0.0,34314,33143,34.969,87.127,83.247,37429,39615,29601,538,0,0,18595,0.0
15.19:47:06,400,0.0,0.8169,0.0,32963,13864,10524,3340,1.3248,0.0,34307,33132,34.969,87.127,83.247,37426,39623,29593,561,0,0,18595,0.0
15.19:47:16,410,0.0,0.8176,0.0,33025,13883,10512,3371,1.3248,0.0,34341,33147,34.969,87.127,83.247,37432,39616,29657,560,0,0,18595,0.0
15.19:47:26,420,0.0,0.8169,0.0,33064,13874,10540,3334,1.3248,0.0,34324,33136,34.969,87.127,83.247,37428,39624,29635,544,0,0,18595,0.0
15.19:47:36,430,0.0,0.8176,0.0,32897,13864,10530,3334,1.3262,0.0,34317,33166,34.969,87.127,83.247,37429,39617,29627,557,0,0,18595,0.0
15.19:47:46,440,0.0,0.8176,0.0,31052,13888,10541,3347,1.3248,0.0,34345,33139,34.969,87.128,83.247,37432,39617,29684,541,0,0,18595,0.0
15.19:47:56,450,0.0,0.8176,0.0,32992,13878,10529,3349,1.3248,0.0,34315,33118,34.969,87.127,83.247,37428,39617,29605,552,0,0,18595,0.0
15.19:48:06,460,0.0,0.8176,0.0,32966,13864,10518,3346,1.3248,0.0,34318,33157,34.969,87.127,83.247,37428,39617,29623,557,0,0,18595,0.0
15.19:48:16,470,0.0,0.8169,0.0,33035,13886,10525,3361,1.3262,0.0,34323,33137,35.0,87.127,83.247,37426,39617,29666,556,0,0,18595,0.0
15.19:48:26,480,0.0,0.8169,0.0,32926,13863,10523,3340,1.3248,0.0,34301,33136,34.969,87.127,83.247,37422,39617,29612,553,0,0,18595,0.0
15.19:48:36,490,0.0,0.8183,0.0,32924,13874,10525,3349,1.3248,0.0,34347,33151,35.0,87.127,83.247,37427,39617,29699,553,0,0,18595,0.0
15.19:48:46,500,0.0,0.8176,0.0,31082,13852,10530,3322,1.3262,0.0,34337,33137,35.0,87.127,83.247,37426,39617,29650,541,0,0,18595,0.0
15.19:48:56,510,0.0,0.8176,0.0,31239,13876,10538,3338,1.3248,0.0,34315,33152,35.0,87.128,83.247,37423,39617,29611,553,0,0,18595,0.0
