DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
30.18:49:36,0,0.0,0.8244,0.0,33024,13722,10813,2909,1.4659,0.0,32935,32373,34.281,86.934,81.32,37794,40150,19979,543,0,0,20608,0.0
30.18:49:46,10,0.0,0.8251,0.0,33027,13817,10814,3003,1.4659,0.0,32996,32383,34.281,86.931,81.321,37804,40126,20008,553,0,0,20608,0.0
30.18:49:56,20,0.0,0.8237,0.0,32973,13783,10755,3028,1.4659,0.0,32900,32400,34.281,86.933,81.321,37805,40134,19961,555,0,0,20608,0.0
30.18:50:06,30,0.0,0.8244,0.0,32866,13755,10738,3017,1.4659,0.0,32870,32369,34.281,86.934,81.321,37811,40134,19892,558,0,0,20608,0.0
30.18:50:16,40,0.0,0.8251,0.0,33017,13805,10745,3060,1.4659,0.0,32837,32372,34.281,86.934,81.32,37808,40141,19864,544,0,0,20608,0.0
30.18:50:26,50,0.0,0.8244,0.0,32931,13738,10757,2981,1.4659,0.0,32940,32372,34.281,86.934,81.32,37798,40148,19954,551,0,0,20608,0.0
30.18:50:36,60,0.0,0.8244,0.0,32940,13732,10734,2998,1.4659,0.0,33008,32354,34.281,86.932,81.32,37809,40147,19974,546,0,0,20608,0.0
30.18:50:46,70,0.0,0.8244,0.0,32813,13725,10778,2947,1.4659,0.0,32879,32427,34.25,86.933,81.32,37823,40147,19799,557,0,0,20608,0.0
30.18:50:56,80,0.0,0.8237,0.0,32727,13743,10750,2993,1.4659,0.0,32829,32410,34.25,86.934,81.32,37810,40147,19861,569,0,0,20608,0.0
30.18:51:06,90,0.0,0.8251,0.0,32909,13743,10766,2977,1.4645,0.0,32880,32426,34.25,86.934,81.32,37805,40155,19974,554,0,0,20608,0.0
30.18:51:16,100,0.0,0.8244,0.0,32918,13788,10766,3022,1.4659,0.0,32957,32372,34.25,86.932,81.32,37810,40147,19939,537,0,0,20608,0.0
30.18:51:26,110,0.0,0.8244,0.0,32890,13789,10792,2997,1.4659,0.0,33002,32321,34.219,86.933,81.319,37815,40164,20035,572,0,0,20608,0.0
30.18:51:36,120,0.0,0.8244,0.0,32854,13768,10724,3044,1.4659,0.0,32927,32405,34.219,86.933,81.32,37817,40150,19955,563,0,0,20608,0.0
30.18:51:46,130,0.0,0.8251,0.0,32964,13795,10705,3090,1.4659,0.0,32850,32329,34.219,86.933,81.32,37826,40151,19879,548,0,0,20608,0.0
30.18:51:56,140,0.0,0.8244,0.0,32994,13761,10752,3009,1.4659,0.0,32919,32376,34.219,86.932,81.32,37833,40161,19918,530,0,0,20608,0.0
30.18:52:06,150,0.0,0.8237,0.0,32996,13783,10750,3033,1.4659,0.0,32823,32419,34.219,86.934,81.32,37830,40163,19856,541,0,0,20608,0.0
30.18:52:16,160,0.0,0.8251,0.0,33005,13840,10764,3076,1.4659,0.0,32919,32387,34.188,86.934,81.319,37832,40172,20000,571,0,0,20608,0.0
30.18:52:26,170,0.0,0.8244,0.0,32933,13779,10710,3069,1.4659,0.0,32850,32320,34.188,86.933,81.319,37838,40174,19907,528,0,0,20608,0.0
30.18:52:36,180,0.0,0.8244,0.0,32821,13762,10728,3034,1.4645,0.0,32821,32339,34.188,86.935,81.32,37841,40168,19928,563,0,0,20608,0.0
30.18:52:46,190,0.0,0.8237,0.0,32909,13807,10738,3069,1.4659,0.0,32823,32404,34.219,86.935,81.32,37836,40170,19934,574,0,0,20608,0.0
