DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
03.16:41:52,0,0.0,1.2202,0.0,33652,14930,8665,6265,1.2481,0.0,31522,33696,34.094,86.413,84.073,38023,42716,28137,505,0,0,16091,0.0
03.16:42:02,10,0.0,1.2202,0.0,33241,14951,8674,6277,1.2467,0.0,31514,33737,34.063,86.413,84.073,38028,42709,28194,523,0,0,16091,0.0
03.16:42:12,20,0.0,1.2216,0.0,33293,14954,8675,6279,1.2467,0.0,31479,33747,34.063,86.413,84.073,38026,42724,28079,515,0,0,16091,0.0
03.16:42:22,30,0.0,1.2209,0.0,33242,14909,8650,6259,1.2481,0.0,31559,33752,34.063,86.413,84.073,38026,42724,28271,536,0,0,16091,0.0
03.16:42:32,40,0.0,1.2216,0.0,33147,14973,8674,6299,1.2481,0.0,31467,33734,34.063,86.413,84.073,38032,42723,28018,507,0,0,16091,0.0
03.16:42:42,50,0.0,1.2209,0.0,33313,14940,8679,6261,1.2467,0.0,31519,33721,34.094,86.413,84.073,38026,42723,28156,515,0,0,16091,0.0
03.16:42:52,60,0.0,1.2216,0.0,33374,14955,8669,6286,1.2467,0.0,31533,33736,34.063,86.413,84.073,38030,42715,28185,501,0,0,16091,0.0
03.16:43:02,70,0.0,1.2216,0.0,33267,14933,8656,6277,1.2467,0.0,31560,33733,34.063,86.413,84.073,38035,42714,28268,515,0,0,16091,0.0
03.16:43:12,80,0.0,1.2209,0.0,33257,14969,8660,6309,1.2467,0.0,31487,33738,34.063,86.414,84.073,38025,42722,28067,528,0,0,16091,0.0
03.16:43:22,90,0.0,1.2216,0.0,33291,14928,8679,6249,1.2481,0.0,31529,33757,34.063,86.413,84.073,38030,42722,28198,503,0,0,16091,0.0
03.16:43:32,100,0.0,1.2216,0.0,33189,14950,8660,6290,1.2481,0.0,31508,33699,34.094,86.413,84.073,38020,42722,28130,506,0,0,16091,0.0
03.16:43:42,110,0.0,1.2216,0.0,32971,14961,8681,6280,1.2481,0.0,31494,33735,34.063,86.413,84.073,38026,42729,28131,494,0,0,16091,0.0
03.16:43:52,120,0.0,1.2209,0.0,33049,14949,8679,6270,1.2481,0.0,31560,33742,34.063,86.414,84.073,38030,42721,28277,510,0,0,16091,0.0
03.16:44:02,130,0.0,1.2209,0.0,29015,14933,8649,6284,1.2481,0.0,31534,33706,34.063,86.413,84.073,38028,42722,28217,520,0,0,16091,0.0
03.16:44:12,140,0.0,1.2216,0.0,29114,14988,8692,6296,1.2481,0.0,31568,33749,34.063,86.413,84.073,38026,42722,28160,508,0,0,16091,0.0
03.16:44:22,150,0.0,1.2216,0.0,29111,14881,8601,6280,1.2481,0.0,31569,33714,34.063,86.413,84.073,38023,42729,28157,514,0,0,16091,0.0
03.16:44:32,160,0.0,1.2209,0.0,29285,14906,8628,6278,1.2467,0.0,31605,33756,34.063,86.413,84.073,38010,42721,28199,524,0,0,16091,0.0
03.16:44:42,170,0.0,1.2223,0.0,33406,14949,8663,6286,1.2481,0.0,31571,33749,34.063,86.413,84.073,38039,42721,28238,509,0,0,16091,0.0
03.16:44:52,180,0.0,1.2202,0.0,33265,15023,8729,6294,1.2481,0.0,31596,33750,34.063,86.413,84.073,38029,42722,28127,521,0,0,16091,0.0
03.16:45:02,190,0.0,1.2209,0.0,33167,14962,8668,6294,1.2481,0.0,31570,33754,34.063,86.413,84.073,38029,42729,28118,500,0,0,16091,0.0
03.16:45:12,200,0.0,1.2216,0.0,34958,14992,8731,6261,1.2481,0.0,31578,33717,34.063,86.413,84.073,38043,42722,28153,562,0,0,16091,0.0
03.16:45:22,210,0.0,1.2216,0.0,29115,14953,8649,6304,1.2481,0.0,31678,33742,34.063,86.413,84.073,38015,42714,28299,530,0,0,16091,0.0
03.16:45:32,220,0.0,1.2216,0.0,29041,15013,8741,6272,1.2481,0.0,31566,33742,34.063,86.413,84.073,38027,42714,28130,527,0,0,16091,0.0
03.16:45:42,230,0.0,1.2216,0.0,29062,14928,8647,6281,1.2481,0.0,31563,33732,34.063,86.413,84.073,38019,42722,28127,488,0,0,16091,0.0
03.16:45:52,240,0.0,1.2216,0.0,29362,14918,8667,6251,1.2481,0.0,31624,33746,34.094,86.413,84.073,38044,42722,28165,489,0,0,16091,0.0
03.16:46:02,250,0.0,1.2216,0.0,29178,14946,8654,6292,1.2481,0.0,31556,33728,34.094,86.413,84.073,38033,42722,28205,530,0,0,16091,0.0
03.16:46:12,260,0.0,1.2216,0.0,33322,14946,8681,6265,1.2481,0.0,31633,33699,34.094,86.413,84.073,38010,42722,28205,515,0,0,16091,0.0
03.16:46:22,270,0.0,1.2195,0.0,33135,14862,8595,6267,1.2481,0.0,31591,33726,34.094,86.413,84.073,37990,42713,28224,487,0,0,16091,0.0
03.16:46:32,280,0.0,1.2216,0.0,28656,14957,8664,6293,1.2481,0.0,31618,33751,34.063,86.413,84.073,38010,42713,28266,517,0,0,16091,0.0
03.16:46:42,290,0.0,1.2216,0.0,29491,14949,8643,6306,1.2481,0.0,31648,33731,34.094,86.413,84.073,38035,42721,28198,516,0,0,16091,0.0
03.16:46:52,300,0.0,1.2216,0.0,29218,14966,8691,6275,1.2481,0.0,31653,33764,34.063,86.413,84.073,38012,42721,28330,538,0,0,16091,0.0
03.16:47:02,310,0.0,1.2209,0.0,33327,14934,8659,6275,1.2481,0.0,31620,33753,34.063,86.413,84.073,38055,42721,28258,529,0,0,16091,0.0
03.16:47:12,320,0.0,1.2209,0.0,34878,14921,8654,6267,1.2481,0.0,31591,33722,34.063,86.412,84.073,38024,42720,28169,536,0,0,16091,0.0
03.16:47:22,330,0.0,1.2209,0.0,33254,14947,8669,6278,1.2481,0.0,31579,33728,34.063,86.413,84.073,38017,42720,28156,514,0,0,16091,0.0
03.16:47:32,340,0.0,1.2202,0.0,33248,14954,8790,6164,1.2467,0.0,31666,33729,34.094,86.413,84.073,38015,42720,28327,501,0,0,16091,0.0
03.16:47:42,350,0.0,1.2209,0.0,33235,14956,8699,6257,1.2481,0.0,31612,33713,34.063,86.413,84.073,38006,42720,28206,520,0,0,16091,0.0
03.16:47:52,360,0.0,1.2209,0.0,33450,14968,8675,6293,1.2481,0.0,31654,33733,34.063,86.413,84.073,38022,42720,28293,514,0,0,16091,0.0
03.16:48:02,370,0.0,1.2209,0.0,33193,14927,8674,6253,1.2481,0.0,31637,33737,34.063,86.414,84.073,38015,42712,28246,515,0,0,16091,0.0
03.16:48:12,380,0.0,1.2209,0.0,33214,14912,8649,6263,1.2481,0.0,31587,33717,34.094,86.413,84.073,37997,42720,28243,524,0,0,16091,0.0
03.16:48:22,390,0.0,1.2216,0.0,33277,14958,8691,6267,1.2467,0.0,31528,33716,34.063,86.413,84.073,38018,42712,28111,514,0,0,16091,0.0
03.16:48:32,400,0.0,1.2216,0.0,33187,14937,8656,6281,1.2481,0.0,31547,33728,34.094,86.413,84.073,38016,42720,28151,490,0,0,16091,0.0
03.16:48:42,410,0.0,1.2209,0.0,33563,14902,8609,6293,1.2467,0.0,31521,33728,34.094,86.413,84.073,38005,42712,28177,508,0,0,16091,0.0
03.16:48:52,420,0.0,1.2216,0.0,33356,14955,8678,6277,1.2481,0.0,31570,33719,34.094,86.413,84.073,38022,42719,28204,494,0,0,16091,0.0
03.16:49:02,430,0.0,1.2209,0.0,33177,14961,8705,6256,1.2481,0.0,31528,33716,34.063,86.413,84.073,38021,42719,28154,500,0,0,16091,0.0
03.16:49:12,440,0.0,1.2209,0.0,33283,14926,8660,6266,1.2481,0.0,31540,33693,34.094,86.414,84.073,38013,42719,28140,504,0,0,16091,0.0
03.16:49:22,450,0.0,1.2223,0.0,33205,14912,8629,6283,1.2481,0.0,31539,33706,34.094,86.413,84.073,38018,42719,28214,508,0,0,16091,0.0
03.16:49:32,460,0.0,1.2202,0.0,33285,14970,8680,6290,1.2481,0.0,31537,33755,34.094,86.413,84.073,38023,42719,28183,506,0,0,16091,0.0
03.16:49:42,470,0.0,1.2216,0.0,33180,14939,8667,6272,1.2481,0.0,31520,33734,34.063,86.413,84.073,38017,42718,28122,527,0,0,16091,0.0
03.16:49:52,480,0.0,1.2209,0.0,33106,14946,8657,6289,1.2467,0.0,31544,33701,34.063,86.413,84.073,38017,42718,28122,514,0,0,16091,0.0
03.16:50:02,490,0.0,1.2216,0.0,33325,15023,8752,6271,1.2467,0.0,31567,33743,34.094,86.413,84.073,38029,42718,28139,535,0,0,16091,0.0
03.16:50:12,500,0.0,1.2216,0.0,33327,14965,8671,6294,1.2481,0.0,31630,33732,34.094,86.413,84.073,38012,42718,28229,546,0,0,16091,0.0
03.16:50:22,510,0.0,1.2216,0.0,33216,14939,8671,6268,1.2481,0.0,31567,33710,34.094,86.413,84.073,38012,42710,28155,495,0,0,16091,0.0
03.16:50:32,520,0.0,1.2229,0.0,33195,14947,8683,6264,1.2481,0.0,31555,33718,34.094,86.413,84.073,38015,42710,28159,526,0,0,16091,0.0
