DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
30.18:49:34,0,0.0,0.8333,0.0,33060,14092,10073,4019,1.3056,0.0,29002,31023,34.25,87.839,84.2,40347,40168,30709,631,0,0,20290,0.0
30.18:49:44,10,0.0,0.834,0.0,33067,14087,10072,4015,1.3056,0.0,28957,30989,34.219,87.839,84.2,40338,40160,30595,633,0,0,20290,0.0
30.18:49:54,20,0.0,0.8333,0.0,32997,14098,10087,4011,1.3056,0.0,29012,31023,34.25,87.839,84.2,40343,40168,30702,641,0,0,20290,0.0
30.18:50:04,30,0.0,0.834,0.0,32955,14112,10080,4032,1.3056,0.0,28998,31008,34.25,87.838,84.2,40343,40167,30668,607,0,0,20290,0.0
30.18:50:14,40,0.0,0.8333,0.0,33069,14108,10074,4034,1.3056,0.0,28983,30968,34.281,87.838,84.2,40342,40167,30646,636,0,0,20290,0.0
30.18:50:24,50,0.0,0.8347,0.0,33062,14093,10083,4010,1.3056,0.0,29019,30992,34.25,87.838,84.2,40339,40166,30715,640,0,0,20290,0.0
30.18:50:34,60,0.0,0.834,0.0,33082,14097,10078,4019,1.3056,0.0,29001,30986,34.25,87.838,84.2,40341,40166,30651,632,0,0,20290,0.0
30.18:50:44,70,0.0,0.834,0.0,33037,14095,10074,4021,1.3056,0.0,29039,30972,34.25,87.838,84.2,40337,40157,30646,633,0,0,20290,0.0
30.18:50:54,80,0.0,0.8347,0.0,33060,14086,10071,4015,1.3056,0.0,29148,30940,34.25,87.838,84.2,40340,40165,30757,615,0,0,20290,0.0
30.18:51:04,90,0.0,0.8326,0.0,33001,14092,10081,4011,1.3056,0.0,29127,30964,34.219,87.838,84.2,40338,40165,30711,635,0,0,20290,0.0
30.18:51:14,100,0.0,0.8347,0.0,33010,14114,10094,4020,1.307,0.0,29148,30925,34.188,87.838,84.2,40351,40165,30692,614,0,0,20290,0.0
30.18:51:24,110,0.0,0.834,0.0,33019,14085,10071,4014,1.3056,0.0,29134,30937,34.188,87.837,84.2,40349,40166,30699,626,0,0,20290,0.0
30.18:51:34,120,0.0,0.834,0.0,33091,14104,10078,4026,1.3056,0.0,29129,30908,34.188,87.837,84.2,40349,40175,30670,642,0,0,20290,0.0
30.18:51:44,130,0.0,0.834,0.0,33038,14097,10090,4007,1.307,0.0,29163,30929,34.156,87.837,84.2,40356,40176,30689,624,0,0,20290,0.0
30.18:51:54,140,0.0,0.8347,0.0,33066,14086,10081,4005,1.307,0.0,29158,30888,34.156,87.837,84.2,40354,40178,30708,625,0,0,20290,0.0
30.18:52:04,150,0.0,0.834,0.0,32941,14086,10095,3991,1.307,0.0,29173,30899,34.156,87.838,84.2,40362,40187,30785,636,0,0,20290,0.0
30.18:52:14,160,0.0,0.834,0.0,33151,14112,10090,4022,1.3056,0.0,29147,30943,34.156,87.838,84.2,40362,40189,30704,637,0,0,20290,0.0
30.18:52:24,170,0.0,0.8333,0.0,33366,14094,10080,4014,1.307,0.0,29144,30908,34.156,87.838,84.2,40363,40183,30669,643,0,0,20290,0.0
