DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
28.16:49:18,0,0.0,1.2927,0.0,33227,15236,7974,7262,1.481,0.0,30651,28995,34.125,89.524,84.2,38724,41180,25540,569,0,0,19273,0.0
28.16:49:29,10,0.0,1.292,0.0,33191,15222,7948,7274,1.4796,0.0,30620,28949,34.125,89.524,84.2,38718,41180,25453,568,0,0,19273,0.0
28.16:49:39,20,0.0,1.294,0.0,33249,15224,7935,7289,1.4796,0.0,30640,28958,34.125,89.524,84.2,38715,41173,25535,554,0,0,19273,0.0
28.16:49:49,30,0.0,1.2927,0.0,33448,15227,7948,7279,1.4796,0.0,30595,28938,34.125,89.524,84.2,38711,41173,25445,561,0,0,19273,0.0
28.16:49:59,40,0.0,1.2934,0.0,33311,15224,7950,7274,1.4796,0.0,30672,28976,34.125,89.524,84.2,38717,41165,25611,551,0,0,19273,0.0
28.16:50:09,50,0.0,1.292,0.0,28656,15217,7942,7275,1.4796,0.0,30643,28950,34.125,89.524,84.2,38708,41180,25532,562,0,0,19273,0.0
28.16:50:19,60,0.0,1.2927,0.0,27983,15217,7949,7268,1.4796,0.0,30616,28981,34.125,89.524,84.2,38717,41172,25460,578,0,0,19273,0.0
28.16:50:29,70,0.0,1.292,0.0,33355,15235,7969,7266,1.4796,0.0,30668,28969,34.125,89.523,84.2,38713,41172,25566,564,0,0,19273,0.0
28.16:50:39,80,0.0,1.292,0.0,33489,15213,7951,7262,1.4796,0.0,30639,28944,34.125,89.524,84.2,38704,41164,25587,574,0,0,19273,0.0
28.16:50:49,90,0.0,1.2927,0.0,33121,15215,7944,7271,1.4796,0.0,30638,28988,34.125,89.524,84.2,38712,41180,25546,569,0,0,19273,0.0
28.16:50:59,100,0.0,1.2927,0.0,33253,15240,7946,7294,1.4796,0.0,30617,28976,34.125,89.524,84.2,38710,41172,25503,589,0,0,19273,0.0
28.16:51:09,110,0.0,1.2927,0.0,33235,15245,7960,7285,1.4796,0.0,30670,28979,34.125,89.524,84.2,38722,41171,25616,572,0,0,19273,0.0
28.16:51:19,120,0.0,1.292,0.0,33362,15238,7950,7288,1.4796,0.0,30622,28954,34.125,89.524,84.201,38706,41155,25506,566,0,0,19273,0.0
28.16:51:29,130,0.0,1.2927,0.0,33347,15217,7956,7261,1.4796,0.0,30636,28974,34.125,89.524,84.2,38712,41163,25522,573,0,0,19273,0.0
28.16:51:39,140,0.0,1.2934,0.0,28510,15212,7951,7261,1.4796,0.0,30610,28961,34.125,89.524,84.2,38715,41170,25476,563,0,0,19273,0.0
28.16:51:49,150,0.0,1.2927,0.0,33137,15224,7942,7282,1.4796,0.0,30669,28994,34.125,89.524,84.2,38716,41170,25613,560,0,0,19273,0.0
