DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
30.18:49:36,0,0.0,1.3638,0.0,33371,15200,8068,7132,1.3467,0.0,31451,33031,34.594,87.986,84.002,38239,39959,20632,552,0,0,20191,0.0
30.18:49:46,10,0.0,1.3631,0.0,33350,15188,8080,7108,1.3467,0.0,31460,33012,34.625,87.986,84.002,38232,39959,20676,540,0,0,20191,0.0
30.18:49:56,20,0.0,1.3645,0.0,33312,15185,8072,7113,1.3467,0.0,31452,33025,34.625,87.986,84.002,38228,39959,20611,553,0,0,20191,0.0
30.18:50:06,30,0.0,1.3638,0.0,33403,15209,8080,7129,1.3467,0.0,31503,33005,34.625,87.986,84.002,38242,39959,20679,523,0,0,20191,0.0
30.18:50:16,40,0.0,1.3638,0.0,33356,15203,8056,7147,1.3467,0.0,31478,33026,34.625,87.986,84.002,38239,39958,20682,592,0,0,20191,0.0
30.18:50:26,50,0.0,1.3651,0.0,33105,15204,8090,7114,1.3467,0.0,31445,32983,34.625,87.985,84.001,38227,39966,20533,526,0,0,20191,0.0
30.18:50:36,60,0.0,1.3638,0.0,33354,15218,8079,7139,1.3467,0.0,31510,32987,34.625,87.986,84.002,38242,39957,20656,520,0,0,20191,0.0
30.18:50:46,70,0.0,1.3638,0.0,33348,15196,8045,7151,1.3467,0.0,31452,32983,34.625,87.985,84.002,38231,39949,20606,544,0,0,20191,0.0
30.18:50:56,80,0.0,1.3645,0.0,33215,15188,8059,7129,1.3467,0.0,31477,32994,34.625,87.985,84.001,38233,39964,20575,546,0,0,20191,0.0
30.18:51:06,90,0.0,1.3645,0.0,33380,15177,8079,7098,1.3467,0.0,31424,33017,34.594,87.985,84.002,38224,39964,20494,534,0,0,20191,0.0
30.18:51:16,100,0.0,1.3645,0.0,33300,15209,8087,7122,1.3467,0.0,31434,33009,34.594,87.985,84.001,38232,39965,20486,537,0,0,20191,0.0
30.18:51:26,110,0.0,1.3624,0.0,33255,15197,8069,7128,1.3467,0.0,31476,33009,34.563,87.985,84.001,38241,39974,20624,556,0,0,20191,0.0
30.18:51:36,120,0.0,1.3638,0.0,33308,15176,8057,7119,1.3467,0.0,31494,33011,34.563,87.986,84.001,38248,39975,20692,538,0,0,20191,0.0
30.18:51:46,130,0.0,1.3638,0.0,33159,15190,8075,7115,1.3467,0.0,31476,33019,34.563,87.985,84.001,38250,39968,20663,547,0,0,20191,0.0
30.18:51:56,140,0.0,1.3651,0.0,33062,15211,8081,7130,1.3467,0.0,31494,33009,34.563,87.985,84.001,38267,39969,20609,540,0,0,20191,0.0
30.18:52:06,150,0.0,1.3645,0.0,33382,15197,8095,7102,1.3453,0.0,31479,33003,34.563,87.984,84.001,38252,39971,20586,527,0,0,20191,0.0
30.18:52:16,160,0.0,1.3638,0.0,33191,15222,8079,7143,1.3467,0.0,31479,33006,34.563,87.985,84.001,38261,39980,20606,568,0,0,20191,0.0
30.18:52:26,170,0.0,1.3651,0.0,33849,15195,8076,7119,1.3467,0.0,31459,32975,34.531,87.985,84.001,38254,39982,20577,539,0,0,20191,0.0
30.18:52:36,180,0.0,1.3645,0.0,33297,15197,8089,7108,1.3467,0.0,31501,33011,34.563,87.985,84.001,38265,39991,20661,521,0,0,20191,0.0
30.18:52:46,190,0.0,1.3638,0.0,33274,15186,8061,7125,1.3467,0.0,31537,32990,34.531,87.984,84.001,38290,39985,20712,569,0,0,20191,0.0
30.18:52:56,200,0.0,1.3651,0.0,32949,15186,8061,7125,1.3467,0.0,31465,32987,34.531,87.985,84.001,38260,39978,20563,549,0,0,20191,0.0
30.18:53:06,210,0.0,1.3651,0.0,33220,15190,8084,7106,1.3467,0.0,31493,32978,34.563,87.985,84.001,38270,39987,20661,528,0,0,20191,0.0
30.18:53:16,220,0.0,1.3638,0.0,33279,15203,8083,7120,1.3467,0.0,31467,32965,34.531,87.985,84.001,38262,39988,20608,548,0,0,20191,0.0
30.18:53:26,230,0.0,1.3617,0.0,33144,15197,8092,7105,1.3467,0.0,31453,32989,34.563,87.984,84.001,38257,39990,20532,532,0,0,20191,0.0
30.18:53:36,240,0.0,1.3638,0.0,33440,15192,8073,7119,1.3467,0.0,31484,32967,34.563,87.984,84.001,38267,39983,20575,529,0,0,20191,0.0
30.18:53:46,250,0.0,1.3631,0.0,32931,15193,8092,7101,1.3467,0.0,31491,32965,34.531,87.985,84.001,38268,39991,20570,546,0,0,20191,0.0
30.18:53:56,260,0.0,1.3638,0.0,33258,15199,8082,7117,1.3467,0.0,31515,32970,34.531,87.983,84.001,38288,39992,20667,530,0,0,20191,0.0
30.18:54:06,270,0.0,1.3658,0.0,33259,15214,8090,7124,1.3467,0.0,31496,33002,34.563,87.984,84.001,38270,39993,20666,549,0,0,20191,0.0
30.18:54:16,280,0.0,1.3658,0.0,33437,15214,8069,7145,1.3467,0.0,31483,32973,34.563,87.984,84.001,38268,39993,20582,529,0,0,20191,0.0
30.18:54:26,290,0.0,1.3651,0.0,33355,15179,8073,7106,1.3467,0.0,31483,32961,34.563,87.984,84.001,38270,39994,20533,531,0,0,20191,0.0
30.18:54:36,300,0.0,1.3645,0.0,33422,15195,8057,7138,1.3467,0.0,31504,32999,34.563,87.984,84.001,38271,39994,20659,520,0,0,20191,0.0
30.18:54:46,310,0.0,1.3624,0.0,33147,15175,8060,7115,1.3467,0.0,31457,32994,34.563,87.984,84.001,38262,39995,20580,538,0,0,20191,0.0
