DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
28.16:49:18,0,0.0,0.7916,0.0,31310,13728,10836,2892,1.381,0.0,29068,31280,34.125,93.856,82.983,42130,40372,22884,552,0,0,18694,0.0
28.16:49:29,10,0.0,0.7916,0.0,32861,13701,10816,2885,1.381,0.0,29092,31255,34.125,93.857,82.983,42126,40373,22886,559,0,0,18694,0.0
28.16:49:39,20,0.0,0.7916,0.0,32842,13677,10814,2863,1.381,0.0,29078,31263,34.125,93.855,82.983,42122,40373,22925,552,0,0,18694,0.0
28.16:49:49,30,0.0,0.7909,0.0,32934,13707,10811,2896,1.381,0.0,29081,31258,34.125,93.856,82.983,42122,40381,22878,560,0,0,18694,0.0
28.16:49:59,40,0.0,0.7909,0.0,32989,13698,10813,2885,1.381,0.0,29112,31222,34.125,93.857,82.983,42120,40374,22960,552,0,0,18694,0.0
28.16:50:09,50,0.0,0.7923,0.0,32976,13701,10833,2868,1.381,0.0,29059,31253,34.125,93.856,82.983,42127,40374,22896,569,0,0,18694,0.0
28.16:50:19,60,0.0,0.7916,0.0,32936,13711,10804,2907,1.381,0.0,29039,31253,34.125,93.856,82.983,42128,40374,22871,564,0,0,18694,0.0
28.16:50:29,70,0.0,0.7916,0.0,32876,13717,10812,2905,1.381,0.0,29110,31239,34.156,93.857,82.983,42123,40374,22881,557,0,0,18694,0.0
28.16:50:39,80,0.0,0.7909,0.0,33015,13711,10818,2893,1.3823,0.0,29081,31232,34.125,93.856,82.983,42126,40374,22831,551,0,0,18694,0.0
28.16:50:49,90,0.0,0.7916,0.0,32931,13709,10828,2881,1.381,0.0,29125,31259,34.156,93.856,82.983,42118,40374,22926,554,0,0,18694,0.0
28.16:50:59,100,0.0,0.7909,0.0,32973,13692,10835,2857,1.381,0.0,29137,31256,34.125,93.855,82.983,42121,40374,22926,551,0,0,18694,0.0
28.16:51:09,110,0.0,0.7909,0.0,32923,13686,10818,2868,1.381,0.0,29122,31229,34.125,93.857,82.984,42119,40365,22923,555,0,0,18694,0.0
28.16:51:19,120,0.0,0.7916,0.0,32917,13699,10827,2872,1.381,0.0,29094,31231,34.125,93.856,82.983,42119,40373,22835,554,0,0,18694,0.0
28.16:51:29,130,0.0,0.7923,0.0,32936,13710,10820,2890,1.381,0.0,29098,31221,34.125,93.855,82.984,42116,40365,22842,545,0,0,18694,0.0
28.16:51:39,140,0.0,0.7916,0.0,32893,13688,10812,2876,1.381,0.0,29090,31223,34.125,93.856,82.983,42120,40372,22847,555,0,0,18694,0.0
28.16:51:49,150,0.0,0.7909,0.0,32971,13719,10826,2893,1.381,0.0,29110,31244,34.125,93.855,82.984,42115,40364,22875,557,0,0,18694,0.0
28.16:51:59,160,0.0,0.7916,0.0,31507,13683,10818,2865,1.381,0.0,29124,31264,34.125,93.856,82.984,42114,40363,22883,556,0,0,18694,0.0
