DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
13.19:10:15,0,0.0,0.8285,0.0,32875,13431,11338,2093,1.3358,0.0,36268,32129,34.094,91.841,84.2,39211,38765,31823,520,0,0,19179,0.0
13.19:11:55,100,0.0,0.8285,0.0,31810,13431,11342,2089,1.3358,0.0,36273,32146,34.094,91.841,84.2,39214,38767,31807,519,0,0,19179,0.0
13.19:13:35,200,0.0,0.8285,0.0,31853,13433,11347,2086,1.3371,0.0,36303,32151,34.031,91.841,84.2,39238,38773,31854,513,0,0,19179,0.0
13.19:15:15,300,0.0,0.8278,0.0,32857,13435,11354,2081,1.3371,0.0,36257,32139,34.0,91.842,84.2,39249,38788,31811,526,0,0,19179,0.0
13.19:16:55,400,0.0,0.8285,0.0,32832,13436,11335,2101,1.3371,0.0,36243,32109,34.063,91.841,84.2,39247,38781,31823,521,0,0,19179,0.0
13.19:18:35,500,0.0,0.8278,0.0,32891,13438,11352,2086,1.3371,0.0,36263,32105,34.063,91.841,84.2,39233,38766,31829,522,0,0,19179,0.0
13.19:20:15,600,0.0,0.8278,0.0,32845,13426,11334,2092,1.3371,0.0,36235,32075,34.063,91.841,84.2,39229,38778,31838,514,0,0,19179,0.0
13.19:21:55,700,0.0,0.8278,0.0,32823,13441,11332,2109,1.3371,0.0,36246,32088,34.063,91.841,84.2,39229,38780,31793,524,0,0,19179,0.0
13.19:23:35,800,0.0,0.8285,0.0,32863,13410,11344,2066,1.3371,0.0,36245,32076,34.094,91.841,84.201,39222,38747,31815,524,0,0,19179,0.0
13.19:25:15,900,0.0,0.8292,0.0,32953,13422,11348,2074,1.3371,0.0,36260,32109,34.094,91.84,84.2,39210,38767,31834,520,0,0,19179,0.0
13.19:26:55,1000,0.0,0.8278,0.0,32861,13429,11326,2103,1.3371,0.0,36263,32079,34.094,91.841,84.2,39221,38756,31807,518,0,0,19179,0.0
13.19:28:35,1100,0.0,0.8278,0.0,31899,13412,11348,2064,1.3371,0.0,36256,32089,34.094,91.841,84.2,39217,38757,31830,517,0,0,19179,0.0
13.19:30:15,1200,0.0,0.8285,0.0,32001,13420,11336,2084,1.3371,0.0,36239,32075,34.094,91.841,84.201,39223,38743,31862,517,0,0,19179,0.0
13.19:31:55,1300,0.0,0.8285,0.0,32870,13432,11339,2093,1.3371,0.0,36217,32075,34.094,91.841,84.2,39225,38768,31800,517,0,0,19179,0.0
13.19:33:35,1400,0.0,0.8285,0.0,32907,13432,11332,2100,1.3358,0.0,36248,32051,34.094,91.841,84.2,39223,38761,31857,518,0,0,19179,0.0
13.19:35:15,1500,0.0,0.8285,0.0,32855,13420,11342,2078,1.3371,0.0,36237,32034,34.094,91.841,84.2,39224,38760,31843,530,0,0,19179,0.0
13.19:36:55,1600,0.0,0.8285,0.0,32902,13438,11345,2093,1.3358,0.0,36238,32072,34.094,91.841,84.2,39217,38773,31814,532,0,0,19179,0.0
13.19:38:35,1700,0.0,0.8292,0.0,32826,13443,11347,2096,1.3371,0.0,36177,32045,34.094,91.841,84.2,39216,38749,31839,517,0,0,19179,0.0
13.19:40:15,1800,0.0,0.8278,0.0,32814,13441,11358,2083,1.3371,0.0,36251,32040,34.094,91.841,84.201,39224,38743,31818,531,0,0,19179,0.0
13.19:41:55,1900,0.0,0.8278,0.0,31850,13431,11344,2087,1.3358,0.0,36238,32054,34.094,91.841,84.201,39220,38746,31849,533,0,0,19179,0.0
13.19:43:35,2000,0.0,0.8285,0.0,31943,13435,11341,2094,1.3371,0.0,36271,32033,34.094,91.841,84.2,39223,38754,31871,527,0,0,19179,0.0
13.19:45:15,2100,0.0,0.8278,0.0,32864,13423,11330,2093,1.3371,0.0,36246,32042,34.063,91.841,84.2,39227,38763,31865,526,0,0,19179,0.0
13.19:46:55,2200,0.0,0.8285,0.0,32886,13424,11350,2074,1.3371,0.0,36239,32020,34.063,91.841,84.2,39227,38781,31862,526,0,0,19179,0.0
13.19:48:35,2300,0.0,0.8278,0.0,32786,13430,11357,2073,1.3371,0.0,36245,32041,34.094,91.841,84.201,39225,38750,31855,521,0,0,19179,0.0
13.19:50:15,2400,0.0,0.8278,0.0,32842,13430,11336,2094,1.3371,0.0,36307,32046,34.094,91.841,84.201,39222,38741,31871,522,0,0,19179,0.0
13.19:51:55,2500,0.0,0.8285,0.0,32904,13435,11334,2101,1.3371,0.0,36270,32025,34.094,91.841,84.2,39218,38752,31819,530,0,0,19179,0.0
13.19:53:35,2600,0.0,0.8285,0.0,32865,13418,11326,2092,1.3358,0.0,36233,31994,34.125,91.841,84.2,39211,38756,31813,529,0,0,19179,0.0
13.19:55:15,2700,0.0,0.8292,0.0,32895,13437,11344,2093,1.3371,0.0,36301,31979,34.125,91.841,84.2,39209,38751,31899,535,0,0,19179,0.0
13.19:56:55,2800,0.0,0.8285,0.0,32835,13431,11344,2087,1.3371,0.0,36268,32021,34.094,91.84,84.2,39215,38752,31834,529,0,0,19179,0.0
13.19:58:35,2900,0.0,0.8285,0.0,31854,13438,11354,2084,1.3371,0.0,36286,31977,34.125,91.841,84.2,39214,38761,31831,525,0,0,19179,0.0
13.20:00:15,3000,0.0,0.8278,0.0,33437,13437,11346,2091,1.3358,0.0,36282,31977,34.125,91.84,84.2,39203,38745,31862,524,0,0,19179,0.0
13.20:01:55,3100,0.0,0.8285,0.0,32897,13441,11357,2084,1.3371,0.0,36302,31977,34.125,91.841,84.2,39211,38769,31851,523,0,0,19179,0.0
13.20:03:35,3200,0.0,0.8285,0.0,32853,13431,11341,2090,1.3371,0.0,36291,31957,34.125,91.84,84.2,39215,38769,31845,535,0,0,19179,0.0
13.20:05:15,3300,0.0,0.8278,0.0,32869,13415,11350,2065,1.3371,0.0,36298,31964,34.125,91.841,84.2,39210,38746,31858,530,0,0,19179,0.0
13.20:06:55,3400,0.0,0.8278,0.0,32856,13497,11410,2087,1.3371,0.0,36309,31960,34.125,91.84,84.2,39214,38751,31770,516,0,0,19179,0.0
13.20:08:35,3500,0.0,0.8292,0.0,32862,13428,11336,2092,1.3371,0.0,36334,31966,34.094,91.839,84.2,39212,38746,31830,528,0,0,19179,0.0
13.20:10:15,3600,0.0,0.8285,0.0,32916,13495,11396,2099,1.3371,0.0,36325,31913,34.125,91.839,84.201,39227,38731,31737,517,0,0,19179,0.0
13.20:11:55,3700,0.0,0.8285,0.0,32916,13426,11348,2078,1.3371,0.0,36318,31949,34.125,91.841,84.2,39199,38754,31836,528,0,0,19179,0.0
13.20:13:35,3800,0.0,0.8285,0.0,32848,13413,11312,2101,1.3371,0.0,36359,31949,34.094,91.84,84.2,39216,38763,31892,522,0,0,19179,0.0
13.20:15:15,3900,0.0,0.8285,0.0,32847,13424,11335,2089,1.3371,0.0,36302,31929,34.094,91.84,84.2,39209,38766,31807,516,0,0,19179,0.0
13.20:16:55,4000,0.0,0.8285,0.0,33073,13408,11327,2081,1.3371,0.0,36306,31909,34.125,91.841,84.2,39202,38768,31819,510,0,0,19179,0.0
13.20:18:35,4100,0.0,0.8292,0.0,32889,13409,11322,2087,1.3371,0.0,36324,31914,34.094,91.839,84.2,39231,38760,31771,538,0,0,19179,0.0
13.20:20:15,4200,0.0,0.8292,0.0,31927,13411,11323,2088,1.3371,0.0,36340,31897,34.063,91.838,84.2,39219,38764,31860,541,0,0,19179,0.0
13.20:21:55,4300,0.0,0.8285,0.0,32871,13425,11341,2084,1.3371,0.0,36288,31866,34.094,91.841,84.2,39220,38779,31845,532,0,0,19179,0.0
13.20:23:35,4400,0.0,0.8285,0.0,32822,13444,11352,2092,1.3371,0.0,36264,31875,34.094,91.841,84.2,39217,38751,31813,524,0,0,19179,0.0
13.20:25:15,4500,0.0,0.8292,0.0,32882,13426,11328,2098,1.3358,0.0,36263,31853,34.094,91.841,84.2,39214,38764,31824,531,0,0,19179,0.0
13.20:26:55,4600,0.0,0.8285,0.0,32815,13422,11345,2077,1.3371,0.0,36299,31882,34.094,91.841,84.201,39214,38734,31848,528,0,0,19179,0.0
13.20:28:35,4700,0.0,0.8278,0.0,32890,13436,11344,2092,1.3371,0.0,36303,31883,34.125,91.841,84.2,39213,38762,31855,527,0,0,19179,0.0
13.20:30:15,4800,0.0,0.8278,0.0,32921,13428,11342,2086,1.3358,0.0,36298,31859,34.156,91.841,84.2,39210,38751,31851,547,0,0,19179,0.0
