DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
28.16:49:18,0,0.0,1.1491,0.0,33045,14387,9487,4900,1.4632,0.0,27584,29071,34.781,92.094,80.0,40059,39099,22097,615,0,0,19801,0.0
28.16:49:29,10,0.0,1.1505,0.0,33112,14387,9485,4902,1.4632,0.0,27620,29093,34.781,92.094,80.0,40070,39099,22196,608,0,0,19801,0.0
28.16:49:39,20,0.0,1.1498,0.0,33031,14374,9486,4888,1.4632,0.0,27599,29086,34.781,92.095,80.0,40064,39099,22181,619,0,0,19801,0.0
28.16:49:49,30,0.0,1.1498,0.0,30208,14379,9484,4895,1.4618,0.0,27623,29091,34.781,92.094,80.0,40059,39099,22275,582,0,0,19801,0.0
28.16:49:59,40,0.0,1.1498,0.0,33136,14378,9486,4892,1.4632,0.0,27601,29076,34.781,92.095,80.001,40059,39091,22229,581,0,0,19801,0.0
28.16:50:09,50,0.0,1.1484,0.0,33036,14377,9496,4881,1.4632,0.0,27584,29071,34.781,92.094,80.0,40053,39099,22117,583,0,0,19801,0.0
28.16:50:19,60,0.0,1.1491,0.0,32996,14371,9461,4910,1.4632,0.0,27595,29073,34.781,92.094,80.0,40059,39099,22113,611,0,0,19801,0.0
28.16:50:29,70,0.0,1.1498,0.0,33169,14353,9471,4882,1.4618,0.0,27601,29078,34.781,92.094,80.0,40042,39099,22139,605,0,0,19801,0.0
28.16:50:39,80,0.0,1.1491,0.0,33189,14399,9516,4883,1.4632,0.0,27593,29056,34.781,92.094,80.0,40055,39099,22158,609,0,0,19801,0.0
28.16:50:49,90,0.0,1.1484,0.0,33043,14372,9487,4885,1.4618,0.0,27599,29072,34.781,92.094,80.001,40058,39091,22188,571,0,0,19801,0.0
28.16:50:59,100,0.0,1.1498,0.0,33111,14369,9479,4890,1.4632,0.0,27619,29100,34.781,92.094,80.0,40052,39098,22144,622,0,0,19801,0.0
28.16:51:09,110,0.0,1.1498,0.0,32916,14387,9508,4879,1.4618,0.0,27579,29091,34.781,92.094,80.0,40037,39098,22135,573,0,0,19801,0.0
28.16:51:19,120,0.0,1.1484,0.0,30010,14350,9484,4866,1.4632,0.0,27592,29073,34.781,92.093,80.0,40049,39098,22119,590,0,0,19801,0.0
28.16:51:29,130,0.0,1.1491,0.0,33224,14395,9482,4913,1.4632,0.0,27619,29083,34.781,92.094,80.0,40062,39098,22165,574,0,0,19801,0.0
28.16:51:39,140,0.0,1.1491,0.0,33064,14375,9485,4890,1.4618,0.0,27629,29106,34.781,92.094,80.0,40064,39098,22256,616,0,0,19801,0.0
28.16:51:49,150,0.0,1.1491,0.0,33051,14365,9499,4866,1.4618,0.0,27585,29088,34.781,92.094,80.0,40054,39098,22177,620,0,0,19801,0.0
28.16:51:59,160,0.0,1.1498,0.0,33114,14380,9494,4886,1.4632,0.0,27572,29111,34.781,92.094,80.0,40058,39098,22159,606,0,0,19801,0.0
28.16:52:09,170,0.0,1.1491,0.0,33059,14403,9496,4907,1.4618,0.0,27558,29102,34.781,92.094,80.0,40050,39099,22063,614,0,0,19801,0.0
28.16:52:19,180,0.0,1.1491,0.0,33198,14367,9478,4889,1.4618,0.0,27608,29108,34.781,92.094,80.0,40058,39106,22168,610,0,0,19801,0.0
28.16:52:29,190,0.0,1.1505,0.0,30024,14364,9476,4888,1.4618,0.0,27653,29087,34.75,92.094,80.0,40060,39099,22261,575,0,0,19801,0.0
28.16:52:39,200,0.0,1.1484,0.0,33145,14403,9481,4922,1.4618,0.0,27637,29115,34.781,92.094,80.0,40067,39099,22168,604,0,0,19801,0.0
28.16:52:49,210,0.0,1.1498,0.0,33102,14361,9478,4883,1.4618,0.0,27614,29107,34.781,92.093,80.0,40059,39107,22214,596,0,0,19801,0.0
28.16:52:59,220,0.0,1.1491,0.0,33101,14370,9488,4882,1.4618,0.0,27588,29072,34.781,92.094,80.0,40049,39099,22154,574,0,0,19801,0.0
28.16:53:09,230,0.0,1.1491,0.0,33063,14383,9487,4896,1.4632,0.0,27631,29087,34.781,92.094,80.0,40073,39099,22208,609,0,0,19801,0.0
28.16:53:19,240,0.0,1.1498,0.0,33168,14366,9470,4896,1.4632,0.0,27659,29105,34.781,92.094,80.0,40067,39099,22249,606,0,0,19801,0.0
28.16:53:29,250,0.0,1.1505,0.0,32980,14349,9467,4882,1.4632,0.0,27625,29089,34.781,92.093,80.0,40066,39099,22202,609,0,0,19801,0.0
28.16:53:39,260,0.0,1.1498,0.0,30196,14392,9520,4872,1.4632,0.0,27623,29080,34.781,92.095,80.0,40058,39099,22201,589,0,0,19801,0.0
