DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
24.10:20:13,0,0.0,1.3269,0.0,33173,14921,8566,6355,1.2851,0.0,36373,32956,33.531,97.09,83.814,45114,43132,29587,516,0,0,18365,173.9,0.0
24.10:20:23,10,0.0,1.3255,0.0,33247,14902,8565,6337,1.2851,0.0,36390,32949,33.563,97.089,83.814,45112,43121,29650,527,0,0,18365,170.7,0.0
24.10:20:33,20,0.0,1.3255,0.0,33351,14925,8571,6354,1.2837,0.0,36449,32923,33.563,97.089,83.814,45117,43126,29707,525,0,0,18365,173.9,0.0
24.10:20:43,30,0.0,1.3262,0.0,33192,14941,8574,6367,1.2837,0.0,36409,32973,33.563,97.09,83.814,45113,43123,29612,515,0,0,18365,173.9,0.0
24.10:20:53,40,0.0,1.3275,0.0,33422,14925,8572,6353,1.2837,0.0,36418,32970,33.563,97.09,83.814,45112,43120,29671,531,0,0,18365,173.9,0.0
24.10:21:03,50,0.0,1.3269,0.0,33208,14932,8569,6363,1.2851,0.0,36425,32970,33.563,97.09,83.814,45115,43109,29681,523,0,0,18365,173.9,0.0
24.10:21:13,60,0.0,1.3262,0.0,33345,14930,8567,6363,1.2851,0.0,36377,32993,33.563,97.09,83.814,45112,43115,29604,514,0,0,18365,173.9,0.0
24.10:21:23,70,0.0,1.3269,0.0,33376,14931,8558,6373,1.2837,0.0,36378,32983,33.563,97.09,83.814,45097,43112,29653,520,0,0,18365,173.9,0.0
24.10:21:33,80,0.0,1.3275,0.0,33278,14921,8554,6367,1.2851,0.0,36449,32936,33.563,97.09,83.81299999999999,45109,43118,29712,528,0,0,18365,173.9,0.0
24.10:21:43,90,0.0,1.3262,0.0,33362,14922,8556,6366,1.2837,0.0,36412,32939,33.563,97.089,83.814,45104,43108,29616,517,0,0,18365,173.9,0.0
24.10:21:53,100,0.0,1.3275,0.0,33273,14926,8567,6359,1.2851,0.0,36390,32935,33.563,97.089,83.814,45105,43106,29639,519,0,0,18365,170.7,0.0
24.10:22:03,110,0.0,1.3255,0.0,33286,14939,8577,6362,1.2837,0.0,36379,32959,33.531,97.089,83.81299999999999,45100,43112,29584,514,0,0,18365,173.9,0.0
24.10:22:13,120,0.0,1.3262,0.0,33110,14953,8591,6362,1.2837,0.0,36373,32958,33.531,97.09100000000001,83.81299999999999,45099,43110,29573,521,0,0,18365,173.9,0.0
24.10:22:23,130,0.0,1.3269,0.0,33355,14937,8565,6372,1.2837,0.0,36378,32960,33.531,97.089,83.81299999999999,45108,43109,29577,518,0,0,18365,173.9,0.0
24.10:22:33,140,0.0,1.3269,0.0,33483,14934,8567,6367,1.2837,0.0,36373,32948,33.531,97.089,83.81299999999999,45105,43108,29633,517,0,0,18365,173.9,0.0
24.10:22:43,150,0.0,1.3255,0.0,33248,14948,8569,6379,1.2837,0.0,36425,32935,33.531,97.089,83.81299999999999,45111,43115,29675,522,0,0,18365,170.7,0.0
24.10:22:53,160,0.0,1.3269,0.0,33183,14929,8575,6354,1.2851,0.0,36423,32957,33.531,97.09,83.81299999999999,45113,43116,29618,517,0,0,18365,173.9,0.0
24.10:23:03,170,0.0,1.3262,0.0,33280,14943,8572,6371,1.2837,0.0,36406,32977,33.5,97.089,83.81299999999999,45115,43132,29610,517,0,0,18365,173.9,0.0
24.10:23:13,180,0.0,1.3262,0.0,33247,14922,8568,6354,1.2837,0.0,36411,32952,33.5,97.09,83.81299999999999,45120,43117,29675,522,0,0,18365,173.8,0.0
24.10:23:23,190,0.0,1.3269,0.0,33005,14939,8571,6368,1.2851,0.0,36456,32947,33.531,97.089,83.81299999999999,45117,43126,29727,517,0,0,18365,173.9,0.0
24.10:23:33,200,0.0,1.3269,0.0,33362,14943,8555,6388,1.2851,0.0,36404,32952,33.531,97.09,83.81299999999999,45117,43127,29609,520,0,0,18365,173.9,0.0
24.10:23:43,210,0.0,1.3262,0.0,33284,14940,8566,6374,1.2851,0.0,36454,32938,33.531,97.089,83.81299999999999,45122,43127,29709,522,0,0,18365,173.9,0.0
24.10:23:53,220,0.0,1.3269,0.0,33124,14935,8570,6365,1.2837,0.0,36419,32957,33.5,97.089,83.81299999999999,45113,43128,29678,520,0,0,18365,176.9,0.0
24.10:24:03,230,0.0,1.3262,0.0,33355,14937,8574,6363,1.2837,0.0,36411,32933,33.5,97.09,83.81299999999999,45116,43121,29654,513,0,0,18365,173.9,0.0
24.10:24:13,240,0.0,1.3275,0.0,33497,14908,8559,6349,1.2837,0.0,36382,32944,33.5,97.09100000000001,83.81299999999999,45113,43122,29561,519,0,0,18365,173.9,0.0
