DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
07.11:14:35,0,0.0,1.4513,0.0,33318,15367,7852,7515,1.3467,0.0,33290,31908,33.719,93.63799999999999,84.20100000000001,47556,50241,29366,559,0,0,18874,180.1,0.0
07.11:14:45,10,0.0,1.4506,0.0,27866,15356,7867,7489,1.3467,0.0,33289,31896,33.781,93.641,84.20100000000001,47545,50227,29309,544,0,0,18874,180.1,0.0
07.11:14:55,20,0.0,1.4499,0.0,28430,15328,7849,7479,1.3467,0.0,33299,31871,33.813,93.64,84.20200000000001,47529,50196,29344,544,0,0,18874,180.1,0.0
07.11:15:05,30,0.0,1.4492,0.0,33636,15351,7851,7500,1.3467,0.0,33287,31846,33.813,93.64,84.20200000000001,47516,50196,29320,558,0,0,18874,180.1,0.0
07.11:15:15,40,0.0,1.4492,0.0,33422,15346,7863,7483,1.3481,0.0,33296,31855,33.844,93.639,84.20200000000001,47508,50195,29307,542,0,0,18874,180.1,0.0
07.11:15:25,50,0.0,1.4506,0.0,33393,15365,7872,7493,1.3467,0.0,33316,31804,33.844,93.641,84.20200000000001,47506,50170,29368,527,0,0,18874,180.1,0.0
07.11:15:35,60,0.0,1.4492,0.0,33412,15368,7870,7498,1.3467,0.0,33304,31826,33.844,93.639,84.20200000000001,47506,50161,29402,544,0,0,18874,183.2,0.0
07.11:15:45,70,0.0,1.4506,0.0,33563,15364,7884,7480,1.3467,0.0,33306,31802,33.875,93.64,84.20200000000001,47493,50153,29332,541,0,0,18874,180.1,0.0
07.11:15:55,80,0.0,1.4499,0.0,33391,15362,7873,7489,1.3467,0.0,33301,31803,33.875,93.64,84.20200000000001,47487,50160,29368,536,0,0,18874,183.2,0.0
07.11:16:05,90,0.0,1.4506,0.0,33428,15358,7877,7481,1.3467,0.0,33340,31830,33.875,93.641,84.20200000000001,47482,50136,29454,543,0,0,18874,180.1,0.0
07.11:16:15,100,0.0,1.4499,0.0,33266,15348,7856,7492,1.3467,0.0,33287,31825,33.875,93.64,84.20200000000001,47470,50136,29344,538,0,0,18874,180.1,0.0
07.11:16:25,110,0.0,1.4499,0.0,33355,15370,7877,7493,1.3481,0.0,33290,31807,33.906,93.639,84.20200000000001,47467,50137,29348,545,0,0,18874,180.1,0.0
07.11:16:35,120,0.0,1.4499,0.0,33308,15374,7876,7498,1.3467,0.0,33284,31831,33.906,93.64,84.20100000000001,47466,50138,29339,528,0,0,18874,180.1,0.0
07.11:16:45,130,0.0,1.4506,0.0,33389,15350,7856,7494,1.3467,0.0,33275,31807,33.906,93.641,84.20200000000001,47458,50124,29267,541,0,0,18874,180.1,0.0
07.11:16:55,140,0.0,1.4499,0.0,33224,15356,7864,7492,1.3467,0.0,33302,31799,33.906,93.639,84.20100000000001,47460,50125,29309,534,0,0,18874,180.1,0.0
07.11:17:05,150,0.0,1.4506,0.0,33238,15368,7870,7498,1.3467,0.0,33293,31815,33.906,93.64,84.20200000000001,47462,50120,29352,545,0,0,18874,180.1,0.0
07.11:17:15,160,0.0,1.4513,0.0,33426,15351,7885,7466,1.3467,0.0,33306,31809,33.875,93.639,84.20100000000001,47460,50123,29324,555,0,0,18874,180.1,0.0
07.11:17:25,170,0.0,1.4513,0.0,33553,15366,7875,7491,1.3467,0.0,33308,31798,33.906,93.641,84.20100000000001,47459,50127,29338,531,0,0,18874,183.2,0.0
07.11:17:35,180,0.0,1.4492,0.0,33647,15364,7881,7483,1.3467,0.0,33276,31809,33.875,93.64,84.20100000000001,47460,50108,29265,540,0,0,18874,183.2,0.0
07.11:17:45,190,0.0,1.4506,0.0,33401,15348,7871,7477,1.3467,0.0,33290,31833,33.844,93.639,84.20100000000001,47463,50121,29319,542,0,0,18874,180.1,0.0
07.11:17:55,200,0.0,1.4513,0.0,33168,15371,7879,7492,1.3467,0.0,33281,31823,33.875,93.639,84.2,47460,50135,29359,550,0,0,18874,180.1,0.0
07.11:18:05,210,0.0,1.4506,0.0,33240,15352,7865,7487,1.3467,0.0,33318,31839,33.844,93.64,84.2,47472,50125,29368,540,0,0,18874,180.1,0.0
07.11:18:15,220,0.0,1.4492,0.0,34131,15358,7865,7493,1.3481,0.0,33264,31810,33.875,93.639,84.2,47463,50124,29200,542,0,0,18874,180.1,0.0
07.11:18:25,230,0.0,1.4506,0.0,33477,15359,7868,7491,1.3467,0.0,33292,31814,33.875,93.639,84.2,47466,50139,29330,535,0,0,18874,180.1,0.0
07.11:18:35,240,0.0,1.4499,0.0,33339,15365,7875,7490,1.3467,0.0,33292,31834,33.844,93.64,84.2,47466,50131,29309,525,0,0,18874,183.2,0.0
07.11:18:45,250,0.0,1.4492,0.0,33371,15352,7861,7491,1.3481,0.0,33282,31802,33.875,93.641,84.2,47467,50130,29327,550,0,0,18874,183.2,0.0
07.11:18:55,260,0.0,1.4506,0.0,33394,15364,7857,7507,1.3467,0.0,33329,31840,33.875,93.639,84.2,47471,50121,29405,541,0,0,18874,180.1,0.0
07.11:19:05,270,0.0,1.4499,0.0,33300,15371,7877,7494,1.3467,0.0,33318,31821,33.875,93.63799999999999,84.2,47468,50129,29432,553,0,0,18874,180.1,0.0
07.11:19:15,280,0.0,1.4492,0.0,33403,15344,7872,7472,1.3467,0.0,33293,31810,33.875,93.639,84.2,47466,50128,29385,552,0,0,18874,180.1,0.0
07.11:19:25,290,0.0,1.4506,0.0,33424,15351,7865,7486,1.3467,0.0,33290,31779,33.875,93.64200000000001,84.2,47462,50127,29290,540,0,0,18874,177.0,0.0
07.11:19:35,300,0.0,1.4513,0.0,33389,15380,7891,7489,1.3467,0.0,33278,31799,33.906,93.641,84.2,47465,50126,29328,551,0,0,18874,180.1,0.0
07.11:19:45,310,0.0,1.4499,0.0,33322,15377,7888,7489,1.3467,0.0,33341,31821,33.906,93.63799999999999,84.2,47471,50125,29475,545,0,0,18874,180.1,0.0
