DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
13.15:22:02,0,0.0,0.8989,0.0,33145,14131,10129,4002,1.3316,0.0,32740,32179,34.469,95.588,83.215,46248,42649,26265,583,0,10,19441,0.0
13.15:22:12,10,0.0,0.8996,0.0,33123,14143,10139,4004,1.3316,0.0,32745,32168,34.469,95.589,83.215,46252,42665,26262,585,0,10,19441,0.0
13.15:22:22,20,0.0,0.8989,0.0,33123,14150,10144,4006,1.3316,0.0,32737,32126,34.5,95.59,83.215,46258,42656,26276,598,0,10,19441,0.0
13.15:22:32,30,0.0,0.8989,0.0,32943,14126,10132,3994,1.3316,0.0,32717,32170,34.469,95.589,83.215,46240,42649,26190,589,0,10,19441,0.0
13.15:22:42,40,0.0,0.8996,0.0,33072,14108,10124,3984,1.3316,0.0,32716,32182,34.469,95.589,83.215,46240,42656,26283,580,0,10,19441,0.0
13.15:22:52,50,0.0,0.8996,0.0,33027,14145,10139,4006,1.3316,0.0,32765,32120,34.469,95.589,83.215,46266,42664,26299,590,0,10,19441,0.0
13.15:23:02,60,0.0,0.8996,0.0,33140,14125,10129,3996,1.3316,0.0,32717,32161,34.469,95.589,83.215,46241,42657,26267,587,0,10,19441,0.0
13.15:23:12,70,0.0,0.8996,0.0,33103,14116,10115,4001,1.3316,0.0,32738,32156,34.469,95.589,83.215,46259,42657,26276,599,0,10,19441,0.0
13.15:23:22,80,0.0,0.8996,0.0,33106,14130,10132,3998,1.3316,0.0,32727,32165,34.469,95.589,83.215,46249,42665,26235,592,0,10,19441,0.0
13.15:23:32,90,0.0,0.8989,0.0,32992,14143,10132,4011,1.3316,0.0,32746,32141,34.469,95.589,83.215,46260,42657,26304,578,0,10,19441,0.0
13.15:23:42,100,0.0,0.8996,0.0,33085,14126,10149,3977,1.3316,0.0,32707,32158,34.469,95.588,83.215,46243,42665,26149,592,0,10,19441,0.0
13.15:23:52,110,0.0,0.8996,0.0,33116,14133,10127,4006,1.3316,0.0,32723,32161,34.469,95.589,83.215,46247,42657,26259,588,0,10,19441,0.0
13.15:24:02,120,0.0,0.8996,0.0,33018,14137,10129,4008,1.3303,0.0,32690,32148,34.469,95.589,83.215,46242,42650,26199,592,0,10,19441,0.0
13.15:24:12,130,0.0,0.8989,0.0,33010,14138,10125,4013,1.3316,0.0,32697,32137,34.469,95.589,83.215,46244,42650,26198,593,0,10,19441,0.0
13.15:24:22,140,0.0,0.8996,0.0,33057,14132,10140,3992,1.3316,0.0,32721,32158,34.5,95.589,83.215,46251,42657,26224,583,0,10,19441,0.0
13.15:24:32,150,0.0,0.8989,0.0,32977,14152,10137,4015,1.3316,0.0,32708,32118,34.5,95.589,83.215,46244,42657,26204,585,0,10,19441,0.0
13.15:24:42,160,0.0,0.8989,0.0,33056,14133,10134,3999,1.3316,0.0,32691,32178,34.5,95.588,83.215,46238,42657,26209,583,0,10,19441,0.0
13.15:24:52,170,0.0,0.8996,0.0,33030,14145,10136,4009,1.3316,0.0,32720,32143,34.469,95.589,83.215,46242,42649,26227,596,0,10,19441,0.0
