DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
02.12:48:38,340,0.0,1.3795,0.0,33435,14946,8608,6338,1.3111,0.0,34015,29817,33.625,95.431,84.2,49036,46274,32981,523,0,0,19781,179.7,0.0
02.12:48:48,350,0.0,1.3781,0.0,33425,14945,8586,6359,1.3097,0.0,34003,29812,33.625,95.431,84.2,49032,46290,32910,523,0,0,19781,179.7,0.0
02.12:48:58,360,0.0,1.3781,0.0,33220,14959,8600,6359,1.3111,0.0,34038,29805,33.625,95.431,84.2,49034,46283,32955,533,0,0,19781,182.8,0.0
02.12:49:08,370,0.0,1.3781,0.0,33356,14939,8595,6344,1.3097,0.0,34020,29801,33.625,95.431,84.2,49035,46275,33000,527,0,0,19781,179.7,0.0
02.12:49:18,380,0.0,1.3788,0.0,33785,14931,8600,6331,1.3097,0.0,34008,29777,33.625,95.43,84.2,49029,46283,32970,520,0,0,19781,176.6,0.0
02.12:49:28,390,0.0,1.3781,0.0,33945,14935,8579,6356,1.3111,0.0,33996,29794,33.625,95.432,84.2,49023,46275,32899,536,0,0,19781,179.7,0.0
02.12:49:38,400,0.0,1.3781,0.0,33217,14971,8610,6361,1.3111,0.0,33995,29804,33.625,95.431,84.2,49024,46283,32922,516,0,0,19781,179.7,0.0
02.12:49:48,410,0.0,1.3781,0.0,33134,14955,8605,6350,1.3097,0.0,33976,29803,33.625,95.432,84.2,49019,46275,32908,544,0,0,19781,173.5,0.0
02.12:49:58,420,0.0,1.3781,0.0,33280,14967,8597,6370,1.3111,0.0,34018,29804,33.656,95.431,84.2,49037,46267,32995,518,0,0,19781,179.7,0.0
02.12:50:08,430,0.0,1.3781,0.0,33815,14986,8626,6360,1.3097,0.0,34016,29811,33.656,95.431,84.2,49026,46283,32956,528,0,0,19781,179.7,0.0
02.12:50:18,440,0.0,1.3788,0.0,33172,14955,8609,6346,1.3097,0.0,34017,29823,33.625,95.431,84.2,49029,46275,32894,509,0,0,19781,176.6,0.0
02.12:50:28,450,0.0,1.3788,0.0,33214,14940,8595,6345,1.3111,0.0,33997,29823,33.625,95.431,84.2,49033,46274,32978,532,0,0,19781,176.6,0.0
02.12:50:38,460,0.0,1.3788,0.0,33208,14968,8616,6352,1.3097,0.0,34030,29807,33.625,95.431,84.2,49045,46274,33001,529,0,0,19781,179.7,0.0
02.12:50:48,470,0.0,1.3788,0.0,33289,14945,8620,6325,1.3097,0.0,34018,29809,33.625,95.431,84.2,49030,46274,32960,541,0,0,19781,179.7,0.0
02.12:50:58,480,0.0,1.3781,0.0,33382,14957,8600,6357,1.3097,0.0,34027,29831,33.625,95.431,84.2,49037,46274,32971,525,0,0,19781,176.6,0.0
