DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
30.18:49:34,0,0.0,0.9919,0.0,32899,14150,9845,4305,1.47,0.0,30757,32751,33.969,93.712,81.118,41163,40463,21225,633,0,0,20219,0.0
30.18:49:44,10,0.0,0.9919,0.0,32946,14168,9859,4309,1.47,0.0,30740,32720,33.969,93.713,81.117,41158,40478,21256,653,0,0,20219,0.0
30.18:49:54,20,0.0,0.9919,0.0,33067,14155,9851,4304,1.4686,0.0,30777,32717,33.969,93.711,81.117,41183,40478,21258,648,0,0,20219,0.0
30.18:50:04,30,0.0,0.9926,0.0,33065,14142,9859,4283,1.47,0.0,30784,32721,34.0,93.711,81.117,41188,40470,21309,643,0,0,20219,0.0
30.18:50:14,40,0.0,0.9926,0.0,33082,14155,9847,4308,1.47,0.0,30767,32702,34.0,93.71,81.117,41181,40469,21253,631,0,0,20219,0.0
30.18:50:24,50,0.0,0.9919,0.0,33064,14159,9876,4283,1.47,0.0,30765,32706,33.969,93.711,81.117,41188,40476,21238,646,0,0,20219,0.0
30.18:50:34,60,0.0,0.9926,0.0,33084,14156,9863,4293,1.47,0.0,30783,32723,34.0,93.71,81.117,41189,40468,21249,632,0,0,20219,0.0
30.18:50:44,70,0.0,0.9933,0.0,33263,14140,9840,4300,1.4686,0.0,30753,32748,34.0,93.711,81.117,41188,40475,21282,667,0,0,20219,0.0
30.18:50:54,80,0.0,0.9933,0.0,33065,14158,9834,4324,1.47,0.0,30758,32710,33.969,93.712,81.117,41176,40475,21319,683,0,0,20219,0.0
30.18:51:04,90,0.0,0.9926,0.0,33091,14157,9849,4308,1.47,0.0,30754,32689,33.938,93.713,81.117,41162,40483,21260,635,0,0,20219,0.0
30.18:51:14,100,0.0,0.9933,0.0,33087,14148,9844,4304,1.4686,0.0,30744,32685,33.906,93.712,81.117,41182,40484,21130,661,0,0,20219,0.0
30.18:51:24,110,0.0,0.9919,0.0,33283,14159,9857,4302,1.47,0.0,30745,32701,33.906,93.713,81.117,41175,40477,21134,641,0,0,20219,0.0
30.18:51:34,120,0.0,0.9933,0.0,33104,14152,9858,4294,1.4686,0.0,30758,32738,33.906,93.71,81.116,41204,40495,21225,648,0,0,20219,0.0
30.18:51:44,130,0.0,0.9926,0.0,33051,14149,9855,4294,1.47,0.0,30776,32712,33.875,93.711,81.117,41202,40489,21310,634,0,0,20219,0.0
30.18:51:54,140,0.0,0.9926,0.0,33152,14155,9855,4300,1.47,0.0,30737,32705,33.875,93.712,81.116,41176,40499,21142,634,0,0,20219,0.0
30.18:52:04,150,0.0,0.9939,0.0,33128,14155,9840,4315,1.4686,0.0,30764,32738,33.875,93.71,81.116,41210,40501,21287,642,0,0,20219,0.0
30.18:52:14,160,0.0,0.9919,0.0,33126,14148,9845,4303,1.4686,0.0,30755,32760,33.875,93.712,81.116,41182,40504,21238,630,0,0,20219,0.0
