DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,CM_mW,FAIL
16.10:10:36,0,0.0,1.1751,0.0,33186,14877,8786,6091,1.2371,0.0,29877,32922,33.625,95.064,84.20100000000001,46521,44975,32233,547,0,0,19019,176.5,0.0
16.10:10:46,10,0.0,1.1765,0.0,33091,14820,8728,6092,1.2371,0.0,29884,32886,33.656,95.06299999999999,84.2,46507,44987,32131,520,0,0,19019,176.5,0.0
16.10:10:56,20,0.0,1.1751,0.0,33100,14834,8753,6081,1.2371,0.0,29883,32895,33.656,95.064,84.20100000000001,46508,44967,32275,545,0,0,19019,176.5,0.0
16.10:11:06,30,0.0,1.1744,0.0,33342,14817,8719,6098,1.2371,0.0,29883,32869,33.656,95.06299999999999,84.20100000000001,46499,44971,32197,519,0,0,19019,176.5,0.0
16.10:11:16,40,0.0,1.1758,0.0,29341,14849,8762,6087,1.2371,0.0,29918,32861,33.656,95.06299999999999,84.20100000000001,46510,44960,32237,552,0,0,19019,176.5,0.0
16.10:11:26,50,0.0,1.1758,0.0,29314,14897,8794,6103,1.2371,0.0,29906,32887,33.656,95.06299999999999,84.20100000000001,46501,44964,32258,542,0,0,19019,170.3,0.0
16.10:11:36,60,0.0,1.1751,0.0,33215,14838,8729,6109,1.2371,0.0,29924,32874,33.688,95.06200000000001,84.20100000000001,46481,44945,32222,526,0,0,19019,173.4,0.0
16.10:11:46,70,0.0,1.1758,0.0,33339,14812,8753,6059,1.2371,0.0,29943,32894,33.656,95.06200000000001,84.20100000000001,46507,44957,32356,523,0,0,19019,173.4,0.0
16.10:11:56,80,0.0,1.1751,0.0,33092,14830,8752,6078,1.2371,0.0,29876,32842,33.688,95.06299999999999,84.20100000000001,46477,44954,32244,539,0,0,19019,173.4,0.0
16.10:12:06,90,0.0,1.1751,0.0,29456,14912,8806,6106,1.2371,0.0,29918,32865,33.688,95.06200000000001,84.20100000000001,46496,44951,32090,538,0,0,19019,173.4,0.0
16.10:12:16,100,0.0,1.1758,0.0,33192,14883,8836,6047,1.2371,0.0,29986,32884,33.688,95.06299999999999,84.20100000000001,46535,44949,32268,521,0,0,19019,176.5,0.0
16.10:12:26,110,0.0,1.1751,0.0,33181,14820,8740,6080,1.2371,0.0,29860,32848,33.688,95.06299999999999,84.20100000000001,46494,44938,32159,513,0,0,19019,176.5,0.0
16.10:12:36,120,0.0,1.1758,0.0,33315,14828,8749,6079,1.2371,0.0,29871,32838,33.688,95.06299999999999,84.20100000000001,46486,44943,32146,543,0,0,19019,173.4,0.0
16.10:12:46,130,0.0,1.1751,0.0,34827,14840,8767,6073,1.2371,0.0,29854,32860,33.688,95.06200000000001,84.2,46481,44949,32145,521,0,0,19019,176.5,0.0
16.10:12:56,140,0.0,1.1751,0.0,29243,14818,8730,6088,1.2371,0.0,29874,32852,33.688,95.061,84.2,46473,44946,32158,526,0,0,19019,176.5,0.0
16.10:13:06,150,0.0,1.1751,0.0,29333,14852,8747,6105,1.2371,0.0,29926,32851,33.719,95.06200000000001,84.2,46484,44944,32237,513,0,0,19019,173.4,0.0
16.10:13:16,160,0.0,1.1758,0.0,29314,14854,8755,6099,1.2371,0.0,29901,32856,33.719,95.06200000000001,84.20100000000001,46481,44926,32271,528,0,0,19019,176.5,0.0
16.10:13:26,170,0.0,1.1758,0.0,29210,14812,8716,6096,1.2371,0.0,29893,32844,33.719,95.06200000000001,84.20100000000001,46466,44932,32224,530,0,0,19019,173.4,0.0
16.10:13:36,180,0.0,1.1758,0.0,28791,14833,8730,6103,1.2371,0.0,29908,32825,33.719,95.06200000000001,84.2,46468,44938,32239,537,0,0,19019,179.6,0.0
16.10:13:46,190,0.0,1.1758,0.0,33034,14835,8745,6090,1.2371,0.0,29932,32835,33.719,95.06200000000001,84.20100000000001,46482,44928,32357,546,0,0,19019,173.4,0.0
16.10:13:56,200,0.0,1.1751,0.0,33249,14861,8749,6112,1.2371,0.0,29913,32814,33.719,95.06200000000001,84.2,46465,44934,32209,526,0,0,19019,176.5,0.0
16.10:14:06,210,0.0,1.1758,0.0,28719,14834,8746,6088,1.2371,0.0,29934,32842,33.75,95.061,84.2,46470,44940,32278,535,0,0,19019,173.4,0.0
