DATE,SECS,PDS1,DCL,DCI,PDADC,CPTP,CPTF,CPTD,VBC,VFALIM,VFA,XFA,TPCB,VTEMP,CTEMP,VHTR,CHTR,RFL,PDSU,TEMPCO,VQPA,VQP,FAIL
22.20:07:54,360,0.0,0.9352,0.0,33106,14356,9745,4611,1.2193,0.0,32771,31606,34.031,85.76,83.863,38560,42492,29330,512,5,1,20793,0.0
22.20:08:04,370,0.0,0.9352,0.0,33123,14361,9728,4633,1.2193,0.0,32769,31574,34.031,85.76,83.863,38555,42493,29285,500,5,1,20793,0.0
22.20:08:14,380,0.0,0.9365,0.0,33163,14377,9782,4595,1.2193,0.0,32806,31613,34.063,85.759,83.86399999999999,38566,42485,29306,511,6,1,20793,0.0
22.20:08:24,390,0.0,0.9358,0.0,30352,14349,9746,4603,1.2193,0.0,32793,31577,34.063,85.76,83.863,38565,42500,29339,522,6,1,20793,0.0
22.20:08:34,400,0.0,0.9358,0.0,30212,14370,9749,4621,1.2193,0.0,32764,31596,34.063,85.76,83.86399999999999,38560,42484,29302,511,6,1,20793,0.0
22.20:08:44,410,0.0,0.9358,0.0,33080,14358,9744,4614,1.2193,0.0,32719,31602,34.063,85.76,83.86399999999999,38557,42484,29158,514,6,1,20793,0.0
22.20:08:54,420,0.0,0.9352,0.0,33066,14353,9755,4598,1.2179,0.0,32761,31589,34.063,85.76,83.86399999999999,38555,42483,29315,509,6,1,20793,0.0
22.20:09:04,430,0.0,0.9352,0.0,33072,14376,9768,4608,1.2193,0.0,32778,31589,34.063,85.76,83.863,38559,42491,29283,511,6,1,20793,0.0
22.20:09:14,440,0.0,0.9358,0.0,30169,14351,9742,4609,1.2193,0.0,32736,31586,34.063,85.759,83.863,38553,42490,29233,507,6,1,20793,0.0
22.20:09:24,450,0.0,0.9358,0.0,30228,14353,9760,4593,1.2179,0.0,32762,31592,34.094,85.759,83.863,38550,42489,29305,513,6,1,20793,0.0
22.20:09:34,460,0.0,0.9358,0.0,30249,14369,9748,4621,1.2193,0.0,32772,31580,34.094,85.759,83.86399999999999,38551,42481,29271,505,6,1,20793,0.0
22.20:09:44,470,0.0,0.9358,0.0,30229,14355,9759,4596,1.2193,0.0,32753,31563,34.063,85.76,83.86399999999999,38551,42480,29261,522,6,1,20793,0.0
22.20:09:54,480,0.0,0.9345,0.0,29701,14339,9778,4561,1.2193,0.0,32748,31565,34.063,85.76,83.863,38547,42495,29209,514,6,1,20793,0.0
22.20:10:04,490,0.0,0.9358,0.0,30273,14365,9759,4606,1.2193,0.0,32795,31573,34.063,85.76,83.863,38556,42487,29329,507,6,1,20793,0.0
22.20:10:14,500,0.0,0.9358,0.0,30300,14370,9750,4620,1.2193,0.0,32766,31609,34.063,85.759,83.863,38542,42478,29288,513,6,1,20793,0.0
22.20:10:24,510,0.0,0.9358,0.0,30250,14359,9744,4615,1.2193,0.0,32770,31563,34.063,85.76,83.863,38545,42485,29265,521,6,1,20793,0.0
22.20:10:34,520,0.0,0.9358,0.0,34335,14357,9763,4594,1.2179,0.0,32779,31575,34.063,85.76,83.863,38544,42485,29317,519,6,1,20793,0.0
22.20:10:44,530,0.0,0.9365,0.0,30469,14358,9748,4610,1.2193,0.0,32746,31563,34.063,85.76,83.863,38545,42492,29222,499,6,1,20793,0.0
22.20:10:54,540,0.0,0.9352,0.0,33196,14357,9750,4607,1.2193,0.0,32806,31583,34.063,85.76,83.86399999999999,38552,42476,29323,511,6,1,20793,0.0
22.20:11:04,550,0.0,0.9358,0.0,33134,14368,9762,4606,1.2193,0.0,32779,31585,34.063,85.76,83.863,38547,42483,29240,513,6,1,20793,0.0
22.20:11:14,560,0.0,0.9358,0.0,29755,14366,9758,4608,1.2193,0.0,32775,31570,34.063,85.76,83.863,38539,42491,29299,520,6,1,20793,0.0
22.20:11:24,570,0.0,0.9358,0.0,33206,14359,9758,4601,1.2193,0.0,32788,31572,34.063,85.76,83.863,38540,42483,29286,504,6,1,20793,0.0
22.20:11:34,580,0.0,0.9358,0.0,33234,14341,9754,4587,1.2179,0.0,32806,31577,34.063,85.76,83.863,38543,42482,29293,543,6,1,20793,0.0
22.20:11:44,590,0.0,0.9358,0.0,33119,14354,9769,4585,1.2193,0.0,32765,31570,34.063,85.759,83.863,38544,42482,29304,528,6,1,20793,0.0
22.20:11:54,600,0.0,0.9358,0.0,29697,14352,9762,4590,1.2193,0.0,32744,31572,34.063,85.76,83.863,38548,42482,29273,507,6,1,20793,0.0
22.20:12:04,610,0.0,0.9358,0.0,33184,14363,9760,4603,1.2193,0.0,32780,31588,34.094,85.759,83.86399999999999,38549,42474,29283,530,6,1,20793,0.0
22.20:12:14,620,0.0,0.9352,0.0,33053,14370,9751,4619,1.2193,0.0,32779,31611,34.063,85.76,83.863,38544,42481,29322,510,6,1,20793,0.0
22.20:12:24,630,0.0,0.9358,0.0,33099,14360,9758,4602,1.2193,0.0,32773,31552,34.063,85.76,83.863,38540,42481,29285,505,6,1,20793,0.0
22.20:12:34,640,0.0,0.9358,0.0,33069,14366,9751,4615,1.2193,0.0,32809,31569,34.063,85.76,83.86399999999999,38550,42473,29308,516,6,1,20793,0.0
22.20:12:44,650,0.0,0.9352,0.0,33173,14375,9759,4616,1.2193,0.0,32796,31591,34.063,85.76,83.863,38539,42480,29310,505,6,1,20793,0.0
22.20:12:54,660,0.0,0.9358,0.0,33167,14356,9742,4614,1.2193,0.0,32773,31571,34.063,85.76,83.86399999999999,38541,42464,29227,506,6,1,20793,0.0
22.20:13:04,670,0.0,0.9352,0.0,33229,14377,9760,4617,1.2193,0.0,32739,31566,34.063,85.76,83.863,38538,42480,29210,516,6,1,20793,0.0
22.20:13:14,680,0.0,0.9352,0.0,33116,14345,9738,4607,1.2193,0.0,32765,31576,34.094,85.759,83.863,38542,42487,29274,520,6,1,20793,0.0
22.20:13:24,690,0.0,0.9358,0.0,33200,14354,9756,4598,1.2179,0.0,32772,31576,34.094,85.759,83.863,38542,42471,29312,519,6,1,20793,0.0
22.20:13:34,700,0.0,0.9365,0.0,33164,14353,9758,4595,1.2193,0.0,32790,31566,34.094,85.759,83.86399999999999,38544,42470,29267,514,6,1,20793,0.0
22.20:13:44,710,0.0,0.9352,0.0,33123,14352,9743,4609,1.2193,0.0,32798,31575,34.063,85.76,83.86399999999999,38538,42470,29300,499,6,1,20793,0.0
22.20:13:54,720,0.0,0.9352,0.0,33236,14360,9773,4587,1.2193,0.0,32809,31578,34.063,85.76,83.863,38535,42485,29302,514,6,1,20793,0.0
22.20:14:04,730,0.0,0.9352,0.0,33174,14361,9759,4602,1.2193,0.0,32779,31593,34.063,85.76,83.86399999999999,38537,42469,29198,516,6,1,20793,0.0
22.20:14:14,740,0.0,0.9358,0.0,33152,14356,9759,4597,1.2193,0.0,32823,31597,34.063,85.76,83.863,38540,42477,29316,512,6,1,20793,0.0
22.20:14:24,750,0.0,0.9358,0.0,33214,14364,9744,4620,1.2193,0.0,32812,31608,34.094,85.759,83.86399999999999,38548,42461,29355,523,6,1,20793,0.0
22.20:14:34,760,0.0,0.9352,0.0,33343,14368,9771,4597,1.2193,0.0,32801,31556,34.094,85.76,83.863,38537,42477,29295,520,6,1,20793,0.0
22.20:14:44,770,0.0,0.9358,0.0,33135,14360,9758,4602,1.2193,0.0,32788,31577,34.063,85.76,83.86399999999999,38539,42469,29290,505,6,1,20793,0.0
22.20:14:54,780,0.0,0.9352,0.0,33086,14350,9742,4608,1.2193,0.0,32770,31566,34.094,85.759,83.863,38537,42477,29222,516,6,1,20793,0.0
22.20:15:04,790,0.0,0.9358,0.0,33189,14353,9742,4611,1.2193,0.0,32759,31584,34.063,85.76,83.863,38540,42477,29196,511,6,1,20793,0.0
22.20:15:14,800,0.0,0.9352,0.0,33129,14354,9753,4601,1.2193,0.0,32743,31578,34.063,85.76,83.863,38541,42477,29206,511,6,1,20793,0.0
22.20:15:24,810,0.0,0.9352,0.0,33199,14370,9759,4611,1.2193,0.0,32762,31579,34.063,85.76,83.86399999999999,38546,42469,29286,508,6,1,20793,0.0
